run_id,source_file,F,D,Cr,k_sim,actual_life,final_wear_um,has_measured_pressure
1,Run3.xlsx,1000.0,8.0,0.008,3e-06,79634.20652173914,5.720000000000001,False
2,Run5.xlsx,1500.0,8.0,0.008,5e-07,56022.00220211273,2.82857,True
3,Run4.xlsx,2160.0,8.0,0.008,1e-06,38722.98916828896,5.03396,True
4,Run9.xlsx,2150.0,13.0,0.01,1e-06,56858.42061857396,4.389589999999999,True
5,Run10.xlsx,1000.0,13.0,0.03,2e-06,70257.13872238644,3.3946,True
6,Run6.xlsx,4000.0,16.0,0.01,2e-06,37604.83980051039,6.083609999999999,True
7,Run7.xlsx,8650.0,16.0,0.02,8e-07,14533.749424829995,8.61317,True
8,Run8.xlsx,2150.0,16.0,0.03,2e-06,41489.80405662315,9.39731,True
9,Run14.xlsx,3000.0,22.0,0.01,2e-06,72675.52147268367,6.19373,True
10,Run13.xlsx,2000.0,22.0,0.02,2e-06,79652.95293344899,5.25182,True
11,Run12.xlsx,9000.0,22.0,0.03,5e-07,15664.267528137914,6.16748,True
12,Run11.xlsx,4500.0,22.0,0.04,1e-06,23918.706127369696,5.45226,True
