sim_cycle,actual_cycle,stress,F,D,Cr,wear_depth,elastic_modulus_GPa,k_sim
0.0,0,93.28299330171212,5000.0,10.0,0.03,0.0,210.0,8.316800000000001e-07
0.404328,1828,88.43201197235435,5000.0,10.0,0.03,0.00016428394008944462,210.0,8.316800000000001e-07
0.808655,3655,84.01087715739213,5000.0,10.0,0.03,0.00031993945007653516,210.0,8.316800000000001e-07
1.212983,5483,79.9770848050356,5000.0,10.0,0.03,0.00046789394232944813,210.0,8.316800000000001e-07
1.61731,7310,76.30072767345852,5000.0,10.0,0.03,0.0006086673302118857,210.0,8.316800000000001e-07
2.021638,9138,72.9464618791426,5000.0,10.0,0.03,0.0007430432087103883,210.0,8.316800000000001e-07
2.425966,10965,69.88941830898105,5000.0,10.0,0.03,0.0008714414942667709,210.0,8.316800000000001e-07
2.830293,12793,67.1002070566108,5000.0,10.0,0.03,0.0009945261917445054,210.0,8.316800000000001e-07
3.234621,14620,64.55814842210128,5000.0,10.0,0.03,0.001112634065993723,210.0,8.316800000000001e-07
3.638948,16448,62.238803478259314,5000.0,10.0,0.03,0.0012263296777260632,210.0,8.316800000000001e-07
4.043276,18276,60.123871754923876,5000.0,10.0,0.03,0.001335940610008115,210.0,8.316800000000001e-07
4.447603,20103,58.19634459320954,5000.0,10.0,0.03,0.0014417689374619424,210.0,8.316800000000001e-07
4.851931,21931,56.43769106887695,5000.0,10.0,0.03,0.0015442605541026366,210.0,8.316800000000001e-07
5.256259,23758,54.83487221718861,5000.0,10.0,0.03,0.0016436005712512482,210.0,8.316800000000001e-07
5.660586,25586,53.37247880537211,5000.0,10.0,0.03,0.0017401721813946334,210.0,8.316800000000001e-07
6.064914,27413,52.03966839296649,5000.0,10.0,0.03,0.0018341168991776297,210.0,8.316800000000001e-07
6.469241,29241,50.82362756324371,5000.0,10.0,0.03,0.0019257657781634604,210.0,8.316800000000001e-07
6.873569,31069,49.71476131440037,5000.0,10.0,0.03,0.0020152730451389396,210.0,8.316800000000001e-07
7.277897,32896,48.70415194589412,5000.0,10.0,0.03,0.0021027795527224,210.0,8.316800000000001e-07
7.682224,34724,47.782083628026,5000.0,10.0,0.03,0.002188554137104649,210.0,8.316800000000001e-07
8.086552,36551,46.94171998505975,5000.0,10.0,0.03,0.0022726588004441115,210.0,8.316800000000001e-07
8.490879,38379,46.17498190127103,5000.0,10.0,0.03,0.0023553295042966164,210.0,8.316800000000001e-07
8.895207,40206,45.47618464643919,5000.0,10.0,0.03,0.002436605392927692,210.0,8.316800000000001e-07
9.299534,42034,44.83861010045409,5000.0,10.0,0.03,0.0025166950912694688,210.0,8.316800000000001e-07
9.703862,43861,44.25753117414918,5000.0,10.0,0.03,0.002595618736300641,210.0,8.316800000000001e-07
10.10819,45689,43.727361471766024,5000.0,10.0,0.03,0.00267356222141592,210.0,8.316800000000001e-07
10.512517,47517,43.243917762671146,5000.0,10.0,0.03,0.002750572006136939,210.0,8.316800000000001e-07
10.916845,49344,42.803312106158174,5000.0,10.0,0.03,0.0028266887191129215,210.0,8.316800000000001e-07
11.321172,51172,42.40130859302571,5000.0,10.0,0.03,0.0029020711281972237,210.0,8.316800000000001e-07
11.7255,52999,42.03492669893535,5000.0,10.0,0.03,0.002976704704500234,210.0,8.316800000000001e-07
12.129828,54827,41.7006440895424,5000.0,10.0,0.03,0.0030507338831859626,210.0,8.316800000000001e-07
12.534155,56654,41.395982335130086,5000.0,10.0,0.03,0.0031241341697764912,210.0,8.316800000000001e-07
12.938483,58482,41.118012468469395,5000.0,10.0,0.03,0.003197038081209653,210.0,8.316800000000001e-07
13.34281,60310,40.86454120681301,5000.0,10.0,0.03,0.003269452450194563,210.0,8.316800000000001e-07
13.747138,62137,40.633530088975974,5000.0,10.0,0.03,0.0033413810522931273,210.0,8.316800000000001e-07
14.151466,63965,40.42275821264986,5000.0,10.0,0.03,0.0034129421824250594,210.0,8.316800000000001e-07
14.555793,65792,40.230662878289195,5000.0,10.0,0.03,0.003484093170673997,210.0,8.316800000000001e-07
14.960121,67620,40.055397313429005,5000.0,10.0,0.03,0.0035549447972794885,210.0,8.316800000000001e-07
15.364448,69447,39.89566206852548,5000.0,10.0,0.03,0.0036254491673316644,210.0,8.316800000000001e-07
15.768776,71275,39.74992147560959,5000.0,10.0,0.03,0.0036957108123015633,210.0,8.316800000000001e-07
16.173103,73102,39.617094988442105,5000.0,10.0,0.03,0.00376567749248031,210.0,8.316800000000001e-07
16.577431,74930,39.49590563535716,5000.0,10.0,0.03,0.0038354485432285238,210.0,8.316800000000001e-07
16.981759,76758,39.38539718854318,5000.0,10.0,0.03,0.0039050061631710035,210.0,8.316800000000001e-07
17.386086,78585,39.284680919321545,5000.0,10.0,0.03,0.00397433121807695,210.0,8.316800000000001e-07
17.790414,80413,39.192788558299405,5000.0,10.0,0.03,0.004043516842788934,210.0,8.316800000000001e-07
18.194741,82240,39.10903879944435,5000.0,10.0,0.03,0.004112502873467117,210.0,8.316800000000001e-07
18.599069,84068,39.0326264865608,5000.0,10.0,0.03,0.004181379168702443,210.0,8.316800000000001e-07
19.003397,85895,38.96298508540002,5000.0,10.0,0.03,0.004250083286661453,210.0,8.316800000000001e-07
19.407724,87723,38.89944507516125,5000.0,10.0,0.03,0.004318702361595858,210.0,8.316800000000001e-07
19.812052,89550,38.841535359098316,5000.0,10.0,0.03,0.004387172057425937,210.0,8.316800000000001e-07
20.216379,91378,38.788699202871804,5000.0,10.0,0.03,0.004455577243002235,210.0,8.316800000000001e-07
20.620707,93206,38.74051971010629,5000.0,10.0,0.03,0.004523889376976983,210.0,8.316800000000001e-07
