sim_cycle,actual_cycle,stress,F,D,Cr,wear_depth,elastic_modulus_GPa,k_sim
0.0,0,91.97705520828033,5000.0,10.0,0.02,0.0,210.0,8.3536e-07
0.400949,1820,87.29849325535208,5000.0,10.0,0.02,0.0001612751053039574,210.0,8.3536e-07
0.801898,3641,83.02101778525956,5000.0,10.0,0.02,0.0003144307963130963,210.0,8.3536e-07
1.202847,5461,79.11454114442745,5000.0,10.0,0.02,0.00046000213859449254,210.0,8.3536e-07
1.603797,7281,75.54483545418123,5000.0,10.0,0.02,0.0005987237569943078,210.0,8.3536e-07
2.004746,9102,72.2811555715367,5000.0,10.0,0.02,0.0007312589365227069,210.0,8.3536e-07
2.405695,10922,69.30054485527496,5000.0,10.0,0.02,0.0008579987081961302,210.0,8.3536e-07
2.806644,12742,66.57688770523961,5000.0,10.0,0.02,0.0009795121948352407,210.0,8.3536e-07
3.207593,14562,64.08803257549538,5000.0,10.0,0.02,0.0010962499459097677,210.0,8.3536e-07
3.608542,16383,61.812543467259495,5000.0,10.0,0.02,0.0012086854135621768,210.0,8.3536e-07
4.009492,18203,59.734414648066284,5000.0,10.0,0.02,0.0013170692320505324,210.0,8.3536e-07
4.410441,20023,57.83543790943704,5000.0,10.0,0.02,0.0014218092021530961,210.0,8.3536e-07
4.81139,21844,56.09925775419105,5000.0,10.0,0.02,0.001523275173987529,210.0,8.3536e-07
5.212339,23664,54.51366193531006,5000.0,10.0,0.02,0.0016216411597357496,210.0,8.3536e-07
5.613288,25484,53.06475773403357,5000.0,10.0,0.02,0.00171722691804485,210.0,8.3536e-07
6.014237,27305,51.74006603563784,5000.0,10.0,0.02,0.0018103232515086604,210.0,8.3536e-07
6.415186,29125,50.53026899243581,5000.0,10.0,0.02,0.0019010457102722673,210.0,8.3536e-07
6.816136,30945,49.42476657011965,5000.0,10.0,0.02,0.0019896468775344556,210.0,8.3536e-07
7.217085,32766,48.4140373030581,5000.0,10.0,0.02,0.0020763572432548625,210.0,8.3536e-07
7.618034,34586,47.49097174731434,5000.0,10.0,0.02,0.002161247751507811,210.0,8.3536e-07
8.018983,36406,46.64748216072181,5000.0,10.0,0.02,0.0022445197311574253,210.0,8.3536e-07
8.419932,38226,45.87670842936233,5000.0,10.0,0.02,0.0023263127129026988,210.0,8.3536e-07
8.820881,40047,45.172012037168926,5000.0,10.0,0.02,0.002406798397348266,210.0,8.3536e-07
9.221831,41867,44.528436167656665,5000.0,10.0,0.02,0.002486004249085844,210.0,8.3536e-07
9.62278,43687,43.940341919379335,5000.0,10.0,0.02,0.0025640816371441744,210.0,8.3536e-07
10.023729,45508,43.402664157191246,5000.0,10.0,0.02,0.0026411701776090785,210.0,8.3536e-07
10.424678,47328,42.91162086939954,5000.0,10.0,0.02,0.002717273605975778,210.0,8.3536e-07
10.825627,49148,42.46290961889173,5000.0,10.0,0.02,0.002792516025498825,210.0,8.3536e-07
11.226576,50969,42.05266574769529,5000.0,10.0,0.02,0.0028670125720304715,210.0,8.3536e-07
11.627525,52789,41.6780036108628,5000.0,10.0,0.02,0.002940748875953378,210.0,8.3536e-07
12.028475,54609,41.335640482976316,5000.0,10.0,0.02,0.0030138282369524838,210.0,8.3536e-07
12.429424,56430,41.02262766063205,5000.0,10.0,0.02,0.003086347112655845,210.0,8.3536e-07
12.830373,58250,40.736763419605225,5000.0,10.0,0.02,0.0031582773193887287,210.0,8.3536e-07
13.231322,60070,40.475543066419156,5000.0,10.0,0.02,0.0032297062838773393,210.0,8.3536e-07
13.632271,61891,40.23671676374659,5000.0,10.0,0.02,0.003300716212412704,210.0,8.3536e-07
14.03322,63711,40.01860461345377,5000.0,10.0,0.02,0.003371268381303784,210.0,8.3536e-07
14.434169,65531,39.819295554268855,5000.0,10.0,0.02,0.0034414381063350673,210.0,8.3536e-07
14.835119,67351,39.6371686025156,5000.0,10.0,0.02,0.003511258357365087,210.0,8.3536e-07
15.236068,69172,39.470655136111745,5000.0,10.0,0.02,0.0035807974492851166,210.0,8.3536e-07
15.637017,70992,39.318583903573135,5000.0,10.0,0.02,0.0036500063845905334,210.0,8.3536e-07
16.037966,72812,39.179622482828485,5000.0,10.0,0.02,0.0037189486740027344,210.0,8.3536e-07
16.438915,74633,39.052574027661095,5000.0,10.0,0.02,0.003787685051127627,210.0,8.3536e-07
16.839864,76453,38.93654488247129,5000.0,10.0,0.02,0.003856160911486925,210.0,8.3536e-07
17.240814,78273,38.83051841977875,5000.0,10.0,0.02,0.003924433323142996,210.0,8.3536e-07
17.641763,80094,38.73358145540572,5000.0,10.0,0.02,0.003992557235241097,210.0,8.3536e-07
18.042712,81914,38.64505213721228,5000.0,10.0,0.02,0.004060473765226475,210.0,8.3536e-07
18.443661,83734,38.56415478648823,5000.0,10.0,0.02,0.004128235065463719,210.0,8.3536e-07
18.84461,85555,38.49019265094335,5000.0,10.0,0.02,0.004195891671600456,210.0,8.3536e-07
