sim_cycle,actual_cycle,stress,F,D,Cr,wear_depth,elastic_modulus_GPa,k_sim
0,0,33.66649655296787,3662.0,12.0,0.0143,0.0,188.8,1.08744e-06
1,5910,33.75169533226029,3662.0,12.0,0.0143,0.00023002926770814,188.8,1.08744e-06
2,11820,33.92136755085324,3662.0,12.0,0.0143,0.00046064066349068265,188.8,1.08744e-06
3,17730,34.1618331976342,3662.0,12.0,0.0143,0.0006924113594734094,188.8,1.08744e-06
4,23640,34.45312847477466,3662.0,12.0,0.0143,0.0009258250579155979,188.8,1.08744e-06
5,29550,34.770779699226516,3662.0,12.0,0.0143,0.0011612290566904045,188.8,1.08744e-06
6,35460,35.08797792745379,3662.0,12.0,0.0143,0.0013988034351016042,188.8,1.08744e-06
7,41370,35.37796107844955,3662.0,12.0,0.0143,0.0016385450980130679,188.8,1.08744e-06
8,47280,35.616391892955136,3662.0,12.0,0.0143,0.001880268096041071,188.8,1.08744e-06
9,53190,35.78352043677005,3662.0,12.0,0.0143,0.0021236201933599224,188.8,1.08744e-06
10,59100,35.86593900024415,3662.0,12.0,0.0143,0.0023681142109996597,188.8,1.08744e-06
11,65010,35.85777346343175,3662.0,12.0,0.0143,0.0026131713606472574,188.8,1.08744e-06
12,70920,35.761205268886066,3662.0,12.0,0.0143,0.002858172718553934,188.8,1.08744e-06
13,76830,35.586277622521315,3662.0,12.0,0.0143,0.0031025142658670053,188.8,1.08744e-06
14,82740,35.35000314244699,3662.0,12.0,0.0143,0.003345660604812259,188.8,1.08744e-06
15,88650,35.07485224509216,3662.0,12.0,0.0143,0.0035871925778093333,188.8,1.08744e-06
16,94560,34.78675658214693,3662.0,12.0,0.0143,0.0038268445583537272,188.8,1.08744e-06
17,100470,34.51280493171106,3662.0,12.0,0.0143,0.004064528100207956,188.8,1.08744e-06
18,106380,34.27883627383388,3662.0,12.0,0.0143,0.004300339843568449,188.8,1.08744e-06
19,112290,34.10714391624633,3662.0,12.0,0.0143,0.004534552975711601,188.8,1.08744e-06
20,118200,34.01449466879043,3662.0,12.0,0.0143,0.004767593004879074,188.8,1.08744e-06
21,124110,34.010639071591264,3662.0,12.0,0.0143,0.005000000000000001,188.8,1.08744e-06
