sim_cycle,actual_cycle,stress,F,D,Cr,wear_depth,elastic_modulus_GPa,k_sim
0,0,27.96054542087073,5427.0,17.0,0.0235,0.0,231.3,8.445600000000001e-07
1,4590,28.16456563401527,5427.0,17.0,0.0235,0.00021019563404285217,231.3,8.445600000000001e-07
2,9180,28.402776529778112,5427.0,17.0,0.0235,0.0004219250063377294,231.3,8.445600000000001e-07
3,13770,28.659628766129853,5427.0,17.0,0.0235,0.0006354451480727983,231.3,8.445600000000001e-07
4,18360,28.918199488901852,5427.0,17.0,0.0235,0.0008508961970152417,231.3,8.445600000000001e-07
5,22950,29.161447460974983,5427.0,17.0,0.0235,0.0010682910720240181,231.3,8.445600000000001e-07
6,27540,29.37347697155442,5427.0,17.0,0.0235,0.001287514583096574,231.3,8.445600000000001e-07
7,32130,29.540716787162438,5427.0,17.0,0.0235,0.0015083320429545057,231.3,8.445600000000001e-07
8,36720,29.652926706947845,5427.0,17.0,0.0235,0.001730406741487499,231.3,8.445600000000001e-07
9,41310,29.70395707071051,5427.0,17.0,0.0235,0.001953324987057225,231.3,8.445600000000001e-07
10,45900,29.69220489040562,5427.0,17.0,0.0235,0.002176626857463486,231.3,8.445600000000001e-07
11,50490,29.62073277594183,5427.0,17.0,0.0235,0.002399840379915393,231.3,8.445600000000001e-07
12,55080,29.497041835091075,5427.0,17.0,0.0235,0.002622516605036723,231.3,8.445600000000001e-07
13,59670,29.332515390486176,5427.0,17.0,0.0235,0.0028442629736282134,231.3,8.445600000000001e-07
14,64260,29.141574770671784,5427.0,17.0,0.0235,0.0030647725015279363,231.3,8.445600000000001e-07
15,68850,28.940609786325652,5427.0,17.0,0.0235,0.0032838466180634563,231.3,8.445600000000001e-07
16,73440,28.746763213336553,5427.0,17.0,0.0235,0.003501409964273534,231.3,8.445600000000001e-07
17,78030,28.576659432069263,5427.0,17.0,0.0235,0.0037175160533842538,231.3,8.445600000000001e-07
18,82620,28.44517151382686,5427.0,17.0,0.0235,0.003932343373729258,231.3,8.445600000000001e-07
19,87210,28.364318194067998,5427.0,17.0,0.0235,0.00414618222314396,231.3,8.445600000000001e-07
20,91800,28.342372538830354,5427.0,17.0,0.0235,0.004359413251267791,231.3,8.445600000000001e-07
21,96390,28.38324841049485,5427.0,17.0,0.0235,0.004572479301175076,231.3,8.445600000000001e-07
22,100980,28.48621023591879,5427.0,17.0,0.0235,0.00478585263871328,231.3,8.445600000000001e-07
23,105570,28.645927602108603,5427.0,17.0,0.0235,0.005,231.3,8.445600000000001e-07
