test_case,model,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error
试验7.xlsx,Transformer_R3,29.972579956054688,35.22272872924805,0.1371592879295349,0.3476373631315933,17312.826778185736,14533.749424829995,2779.0773533557403,0.19121544428224843
试验12.xlsx,Transformer_R3,30.85626220703125,31.350976943969727,0.21234329044818878,0.41189900463826273,12511.942087659521,15664.267528137914,3152.325440478393,0.2012430798194574
试验11.xlsx,Transformer_R3,5.350627422332764,6.4815239906311035,0.06285025924444199,0.13054994155334873,21431.21377960077,23918.706127369696,2487.4923477689263,0.1039977804201766
试验6.xlsx,Transformer_R3,25.540874481201172,37.05263900756836,0.34386110305786133,0.18348442030036455,33136.49391207631,37604.83980051039,4468.34588843408,0.11882369163485795
试验4.xlsx,Transformer_R3,28.962074279785156,43.87834930419922,0.19386149942874908,0.10869543872192834,33893.01751262223,38722.98916828896,4829.971655666726,0.1247313742923051
试验8.xlsx,Transformer_R3,36.012332916259766,45.94657897949219,0.36699000000953674,0.22842145030599648,35291.88218313107,41489.80405662315,6197.92187349208,0.14938421654229736
试验14.xlsx,Transformer_R3,2.306673765182495,2.577446699142456,0.0340738408267498,0.4747243590432463,45350.823318120274,72675.52147268367,27324.698154563397,0.37598214090330057
试验3.xlsx,Transformer_R3,84.28775787353516,100.98184204101562,1.1998177766799927,0.4299085685767175,53487.108770916275,79634.20652173914,26147.09775082286,0.3283400299051769
试验13.xlsx,Transformer_R3,7.894903659820557,8.930205345153809,0.09678700566291809,0.43295041920035676,46218.799158270216,79652.95293344899,33434.15377517878,0.41974782533314764
试验1.xlsx,Transformer_R3,17.913471221923828,19.94834327697754,0.4622039794921875,0.6181354737249063,108620.30238317199,160991.85166086955,52371.54927769756,0.3253055899252503
