Step_Time,Max_CWEAR,,,,
0.017564,3.07E-05,,3E-06,1E-10,526.92
0.067564,1.17E-04,,,,2026.92
0.117564,2.02E-04,,,,3526.92
0.167564,2.85E-04,,,,5026.92
0.217564,3.67E-04,,,,6526.92
0.267564,4.39E-04,,,,8026.92
0.317564,5.17E-04,,,,9526.92
0.367564,5.94E-04,,,,11026.92
0.417564,6.69E-04,,,,12526.92
0.467564,7.43E-04,,,,14026.92
0.517564,8.16E-04,,,,15526.92
0.567564,8.87E-04,,,,17026.92
0.617564,9.57E-04,,,,18526.92
0.667564,1.03E-03,,,,20026.92
0.717564,1.09E-03,,,,21526.92
0.767564,1.15E-03,,,,23026.92
0.817564,1.22E-03,,,,24526.92
0.867564,1.28E-03,,,,26026.92
0.917564,1.35E-03,,,,27526.92
0.967564,1.41E-03,,,,29026.92
1.017564,1.47E-03,,,,30526.92
1.067564,1.53E-03,,,,32026.92
1.117564,1.59E-03,,,,33526.92
1.167565,1.65E-03,,,,35026.95
1.217564,1.71E-03,,,,36526.92
1.267564,1.76E-03,,,,38026.92
1.317564,1.82E-03,,,,39526.92
1.367564,1.88E-03,,,,41026.92
1.417565,1.93E-03,,,,42526.95
1.467564,1.99E-03,,,,44026.92
1.517564,2.04E-03,,,,45526.92
1.567564,2.09E-03,,,,47026.92
1.617564,2.15E-03,,,,48526.92
1.667565,2.20E-03,,,,50026.95
1.717564,2.25E-03,,,,51526.92
1.767564,2.30E-03,,,,53026.92
1.817564,2.35E-03,,,,54526.92
1.867564,2.40E-03,,,,56026.92
1.917565,2.45E-03,,,,57526.95
1.967564,2.50E-03,,,,59026.92
2.017565,2.55E-03,,,,60526.95
2.067564,2.60E-03,,,,62026.92
2.117564,2.65E-03,,,,63526.92
2.167564,2.70E-03,,,,65026.92
2.217564,2.75E-03,,,,66526.92
2.267565,2.79E-03,,,,68026.95
2.317564,2.84E-03,,,,69526.92
2.367564,2.88E-03,,,,71026.92
2.417564,2.93E-03,,,,72526.92
2.467564,2.98E-03,,,,74026.92
2.517565,3.02E-03,,,,75526.95
2.567564,3.07E-03,,,,77026.92
2.617564,3.12E-03,,,,78526.92
2.667564,3.16E-03,,,,80026.92
2.717564,3.21E-03,,,,81526.92
2.767565,3.25E-03,,,,83026.95
2.817564,3.29E-03,,,,84526.92
2.867564,3.34E-03,,,,86026.92
2.917564,3.38E-03,,,,87526.92
2.967564,3.43E-03,,,,89026.92
3.017565,3.47E-03,,,,90526.95
3.067564,3.51E-03,,,,92026.92
3.117564,3.56E-03,,,,93526.92
3.167564,3.60E-03,,,,95026.92
3.217564,3.64E-03,,,,96526.92
3.267565,3.68E-03,,,,98026.95
3.317564,3.73E-03,,,,99526.92
3.367564,3.77E-03,,,,101026.92
3.417564,3.81E-03,,,,102526.92
3.467564,3.85E-03,,,,104026.92
3.517565,3.90E-03,,,,105526.95
3.567564,3.94E-03,,,,107026.92
3.617564,3.98E-03,,,,108526.92
3.667564,4.02E-03,,,,110026.92
3.717564,4.06E-03,,,,111526.92
3.767565,4.10E-03,,,,113026.95
3.817564,4.14E-03,,,,114526.92
3.867564,4.19E-03,,,,116026.92
3.917564,4.23E-03,,,,117526.92
3.967564,4.27E-03,,,,119026.92
4.017564,4.31E-03,,,,120526.92
4.067564,4.35E-03,,,,122026.92
4.117565,4.39E-03,,,,123526.95
4.167564,4.43E-03,,,,125026.92
4.217565,4.47E-03,,,,126526.95
4.267564,4.51E-03,,,,128026.92
4.317564,4.55E-03,,,,129526.92
4.367565,4.59E-03,,,,131026.95
4.417564,4.63E-03,,,,132526.92
4.467565,4.67E-03,,,,134026.95
4.517564,4.71E-03,,,,135526.92
4.567564,4.75E-03,,,,137026.92
4.617565,4.79E-03,,,,138526.95
4.667564,4.83E-03,,,,140026.92
4.717565,4.87E-03,,,,141526.95
4.767564,4.91E-03,,,,143026.92
4.817564,4.95E-03,,,,144526.92
4.867565,4.99E-03,,,,146026.95
4.917564,5.02E-03,,,,
4.967565,5.06E-03,,,,
5.017564,5.10E-03,,,,
5.067564,5.14E-03,,,,
5.117565,5.18E-03,,,,
5.167564,5.22E-03,,,,
5.217565,5.26E-03,,,,
5.267564,5.30E-03,,,,
5.317564,5.33E-03,,,,
5.367565,5.37E-03,,,,
5.417564,5.41E-03,,,,
5.467565,5.45E-03,,,,
5.517564,5.49E-03,,,,
5.567564,5.53E-03,,,,
5.617565,5.57E-03,,,,
5.667564,5.61E-03,,,,
5.717565,5.64E-03,,,,
5.767564,5.68E-03,,,,
5.817564,5.72E-03,,,,
