test_case,model,step_mode,actual_step_cap,native_actual_step,used_actual_step,native_sim_step,used_sim_step,step_capped,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error
Run30.xlsx,FNN,默认步长,,435.0,435.0,0.09999996423750002,0.09999996423750002,0,6.2244157791137695,6.930980205535889,0.04088219255208969,0.07996936837260744,22431.00029509406,23723.808846679636,1292.8085515855746,0.054494139619006204
Run11.xlsx,FNN,默认步长,,326.0,326.0,0.059999942780000204,0.05999994278000021,0,2.1545441150665283,2.498047113418579,0.022035257890820503,0.08468394223623286,22505.777812673434,23918.706127369696,1412.9283146962625,0.05907210478578007
Run4.xlsx,FNN,默认步长,,326.0,326.0,0.059999942780000204,0.05999994278000021,0,11.768064498901367,13.967710494995117,0.06299354881048203,0.28738317370305827,33985.594032510475,38722.98916828896,4737.395135778483,0.12234063633853018
Run8.xlsx,FNN,默认步长,,652.0,652.0,0.059999942780000204,0.05999994278000021,0,1.2478702068328857,1.6277216672897339,0.015261036343872547,0.11886829615797247,38893.26097721645,41489.80405662315,2596.5430794066997,0.0625826787676093
Run30.xlsx,GRU,默认步长,,435.0,435.0,0.09999996423750002,0.09999996423750002,0,3.9960992336273193,4.192648410797119,0.02501009590923786,0.07559196499521038,22676.94509837692,23723.808846679636,1046.863748302716,0.044127136374614406
Run11.xlsx,GRU,默认步长,,326.0,326.0,0.059999942780000204,0.05999994278000021,0,1.9500486850738525,2.311185359954834,0.019073311239480972,0.05537346644104608,23187.399682013856,23918.706127369696,731.30644535584,0.030574665764174454
Run4.xlsx,GRU,默认步长,,326.0,326.0,0.059999942780000204,0.05999994278000021,0,4.279082298278809,4.714770793914795,0.026649974286556244,0.0420834245849662,38324.88919061203,38722.98916828896,398.099977676924,0.010280714020986174
Run8.xlsx,GRU,默认步长,,652.0,652.0,0.059999942780000204,0.05999994278000021,0,2.824585437774658,3.205418586730957,0.032846298068761826,0.04011723872220082,40547.390210621335,41489.80405662315,942.4138460018148,0.02271434795680541
Run30.xlsx,LSTM,默认步长,,435.0,435.0,0.09999996423750002,0.09999996423750002,0,5.437459468841553,5.58827543258667,0.03351050987839699,0.09359461015119329,22452.510390378207,23723.808846679636,1271.2984563014288,0.053587451514108736
Run11.xlsx,LSTM,默认步长,,326.0,326.0,0.059999942780000204,0.05999994278000021,0,1.5934278964996338,1.9753961563110352,0.0158129520714283,0.060554216448437594,23115.200765348185,23918.706127369696,803.5053620215112,0.03359317839948191
Run4.xlsx,LSTM,默认步长,,326.0,326.0,0.059999942780000204,0.05999994278000021,0,5.007918357849121,5.122167587280273,0.02870982512831688,0.009509979113001322,38573.2817054606,38722.98916828896,149.70746282835898,0.003866113284223354
Run8.xlsx,LSTM,默认步长,,652.0,652.0,0.059999942780000204,0.05999994278000021,0,2.1917178630828857,2.527747631072998,0.025689193978905678,0.05556442915878515,40159.45939875187,41489.80405662315,1330.3446578712828,0.03206437552839962
Run30.xlsx,1D-CNN,默认步长,,435.0,435.0,0.09999996423750002,0.09999996423750002,0,5.443539142608643,5.782206058502197,0.03335312381386757,0.042946310499727684,23012.199174637888,23723.808846679636,711.6096720417481,0.029995591207157463
Run11.xlsx,1D-CNN,默认步长,,326.0,326.0,0.059999942780000204,0.05999994278000021,0,2.9382293224334717,3.5126752853393555,0.03005368635058403,0.04848331429357944,23440.688532073396,23918.706127369696,478.0175952963,0.01998509420830728
Run4.xlsx,1D-CNN,默认步长,,326.0,326.0,0.059999942780000204,0.05999994278000021,0,7.215634822845459,8.892010688781738,0.04048836603760719,0.02565448640465682,38599.266619775604,38722.98916828896,123.7225485133531,0.0031950670950442023
Run8.xlsx,1D-CNN,默认步长,,652.0,652.0,0.059999942780000204,0.05999994278000021,0,4.371675968170166,4.930791854858398,0.051537394523620605,0.02969766129083169,41848.789383167685,41489.80405662315,358.9853265445345,0.008652374594360817
Run30.xlsx,Transformer,默认步长,,435.0,435.0,0.09999996423750002,0.09999996423750002,0,3.0589282512664795,3.4967856407165527,0.019873585551977158,0.036718895711182295,23139.202459539792,23723.808846679636,584.6063871398437,0.024642180811605414
Run11.xlsx,Transformer,默认步长,,326.0,326.0,0.059999942780000204,0.05999994278000021,0,1.3694208860397339,1.7752788066864014,0.014421341009438038,0.06472003704492368,23121.344016911844,23918.706127369696,797.3621104578524,0.03333633960849776
Run4.xlsx,Transformer,默认步长,,326.0,326.0,0.059999942780000204,0.05999994278000021,0,2.765190601348877,3.0154759883880615,0.01680452562868595,0.0531559487369215,37952.271152092995,38722.98916828896,770.7180161959623,0.019903370910919215
Run8.xlsx,Transformer,默认步长,,652.0,652.0,0.059999942780000204,0.05999994278000021,0,1.914088249206543,2.2299301624298096,0.021821551024913788,0.05447036694609393,40077.228274400164,41489.80405662315,1412.5757822229862,0.03404633534289956
