variant,model,test_case,pressure_mae,wear_mae_um,predicted_life,true_life,life_abs_error,native_actual_step,used_actual_step,candidate,test_files
baseline_5d,FNN,Run16.xlsx,10.047618865966797,0.07355961078286563,31924.12302304747,31328.193563571127,595.9294594763414,163.0,163.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,FNN,Run29.xlsx,6.60023832321167,0.1698894973368541,18807.103322707815,20098.92064774445,1291.8173250366344,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,FNN,Run30.xlsx,3.0687413215637207,0.05964099756726171,23179.843010643723,23723.808846679636,543.9658360359135,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,FNN,Run7.xlsx,10.053475379943848,0.11824954478436994,13394.458385996608,14533.749424829995,1139.2910388333876,261.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,GRU,Run16.xlsx,6.846724987030029,0.07991889896966976,29705.896151499055,31328.193563571127,1622.297412072072,163.0,163.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,GRU,Run29.xlsx,2.724080801010132,0.04600431623040529,19821.81892204834,20098.92064774445,277.1017256961095,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,GRU,Run30.xlsx,12.915308952331543,0.17218191695402907,21496.97163964307,23723.808846679636,2226.837207036566,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,GRU,Run7.xlsx,8.236444473266602,0.07892602034030054,14371.331945228925,14533.749424829995,162.41747960107023,261.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,LSTM,Run16.xlsx,6.253990173339844,0.079418302200473,29724.823020710446,31328.193563571127,1603.3705428606809,163.0,163.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,LSTM,Run29.xlsx,2.4278461933135986,0.03490820804347427,20062.98241736484,20098.92064774445,35.938230379608285,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,LSTM,Run30.xlsx,8.61479377746582,0.12178742083546783,22050.556826059354,23723.808846679636,1673.2520206202826,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,LSTM,Run7.xlsx,27.86348533630371,0.1460976258160053,16237.361092966079,14533.749424829995,1703.6116681360836,261.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,1D-CNN,Run16.xlsx,22.555875778198242,0.20130461570891395,34792.49241708295,31328.193563571127,3464.29885351182,163.0,163.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,1D-CNN,Run29.xlsx,6.659536361694336,0.1514238216611334,18461.586689447027,20098.92064774445,1637.3339582974222,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,1D-CNN,Run30.xlsx,4.0513763427734375,0.0630941240004732,24112.275710418093,23723.808846679636,388.4668637384566,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,1D-CNN,Run7.xlsx,18.540281295776367,0.08551873153600646,15463.061887338825,14533.749424829995,929.3124625088294,261.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,Transformer,Run16.xlsx,6.489072322845459,0.14637849183261048,29269.46293049376,31328.193563571127,2058.730633077368,163.0,163.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,Transformer,Run29.xlsx,2.2528560161590576,0.05178897325260868,19624.062192424753,20098.92064774445,474.8584553196961,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,Transformer,Run30.xlsx,7.952014446258545,0.11811632786591741,22332.490815647823,23723.808846679636,1391.318031031813,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
baseline_5d,Transformer,Run7.xlsx,17.254352569580078,0.09261806169730334,15145.717205233143,14533.749424829995,611.9677804031471,261.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,FNN,Run16.xlsx,18.38365936279297,0.1852087856405737,33387.565229018415,31328.193563571127,2059.3716654472883,163.0,163.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,FNN,Run29.xlsx,4.874913215637207,0.12354981339288607,19273.14141984395,20098.92064774445,825.7792279005007,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,FNN,Run30.xlsx,12.029444694519043,0.19970104814234466,25307.942526116698,23723.808846679636,1584.1336794370618,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,FNN,Run7.xlsx,6.535393238067627,0.008362007032824548,14407.407932610477,14533.749424829995,126.34149221951884,261.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,GRU,Run16.xlsx,3.469291925430298,0.10055955696872815,29785.532569518036,31328.193563571127,1542.6609940530907,163.0,163.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,GRU,Run29.xlsx,4.80875301361084,0.1007077245796768,19199.65885430848,20098.92064774445,899.2617934359696,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,GRU,Run30.xlsx,3.9201343059539795,0.05242414206159985,22889.86918339106,23723.808846679636,833.9396632885764,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,GRU,Run7.xlsx,9.575037002563477,0.009190233372462085,14616.047599012063,14533.749424829995,82.29817418206767,261.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,LSTM,Run16.xlsx,3.122591495513916,0.10267391845293934,29931.48486948836,31328.193563571127,1396.7086940827685,163.0,163.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,LSTM,Run29.xlsx,4.187891483306885,0.0841141893304359,20941.412171972555,20098.92064774445,842.4915242281058,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,LSTM,Run30.xlsx,1.8610059022903442,0.031385011524845824,23489.62257943528,23723.808846679636,234.1862672443567,435.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,LSTM,Run7.xlsx,13.055657386779785,0.03777555479695319,14887.532268657966,14533.749424829995,353.7828438279703,261.0,250.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
R1_plus_slow,1D-CNN,Run16.xlsx,13.427888870239258,0.13461314440194547,32182.680348927584,31328.193563571127,854.4867853564574,163.0,163.0,R3_Run16_Run30_Run7_Run29,Run16.csv;Run30.csv;Run7.csv;Run29.csv
