variant,model,test_case,pressure_mae,wear_mae_um,predicted_life,true_life,life_abs_error,native_actual_step,used_actual_step,candidate,test_files
baseline_5d,FNN,Run11.xlsx,5.123563766479492,0.03953950995190924,24222.470767247116,23918.706127369696,303.76463987741954,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,FNN,Run20.xlsx,19.834455490112305,0.13677364043075646,15031.290324534446,13898.924463873347,1132.3658606610988,272.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,FNN,Run4.xlsx,4.066166400909424,0.13792396705456775,36510.8665218226,38722.98916828896,2212.122646466356,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,FNN,Run8.xlsx,3.7188291549682617,0.02878963379154383,42004.348530303774,41489.80405662315,514.5444736806239,652.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,GRU,Run11.xlsx,2.60243558883667,0.028338936119967205,23503.70328224774,23918.706127369696,415.00284512195503,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,GRU,Run20.xlsx,7.6807637214660645,0.03935653726454396,14148.080513052202,13898.924463873347,249.15604917885503,272.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,GRU,Run4.xlsx,2.9769067764282227,0.05064112324791135,37839.12495200185,38722.98916828896,883.864216287111,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,GRU,Run8.xlsx,4.6199870109558105,0.08248861990473821,42942.53069779453,41489.80405662315,1452.726641171379,652.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,LSTM,Run11.xlsx,4.277958869934082,0.017530570494835016,24010.535280165877,23918.706127369696,91.829152796181,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,LSTM,Run20.xlsx,12.174317359924316,0.09638183749410509,14521.831079435788,13898.924463873347,622.9066155624405,272.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,LSTM,Run4.xlsx,6.848277568817139,0.022429158556568914,39141.46258355464,38722.98916828896,418.473415265682,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,LSTM,Run8.xlsx,4.04138708114624,0.08446294277580452,42700.39033183377,41489.80405662315,1210.5862752106186,652.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,1D-CNN,Run11.xlsx,5.0560431480407715,0.03147383792507818,24407.091409119894,23918.706127369696,488.38528175019746,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,1D-CNN,Run20.xlsx,33.340763092041016,0.24527070327103853,12164.881262930463,13898.924463873347,1734.0432009428841,272.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,1D-CNN,Run4.xlsx,15.707396507263184,0.31456055748746276,33493.51151736486,38722.98916828896,5229.477650924098,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,1D-CNN,Run8.xlsx,3.2615747451782227,0.024930213977815124,40968.57621784663,41489.80405662315,521.2278387765182,652.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,Transformer,Run11.xlsx,1.6425707340240479,0.0648610310097916,23090.64957999092,23918.706127369696,828.0565473787756,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,Transformer,Run20.xlsx,9.973718643188477,0.06273618718003912,14443.95510121715,13898.924463873347,545.0306373438034,272.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,Transformer,Run4.xlsx,2.2031874656677246,0.10151584681507905,37187.22356176922,38722.98916828896,1535.765606519737,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
baseline_5d,Transformer,Run8.xlsx,1.6225496530532837,0.050513526646102744,40121.39827663244,41489.80405662315,1368.4057799907096,652.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
R1_plus_slow,FNN,Run11.xlsx,2.2270002365112305,0.11868566021568241,22677.555858616844,23918.706127369696,1241.1502687528518,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
R1_plus_slow,FNN,Run20.xlsx,16.230960845947266,0.11991837647818511,14774.147201858945,13898.924463873347,875.2227379855976,272.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
R1_plus_slow,FNN,Run4.xlsx,9.026482582092285,0.21080537539998517,35227.42326253074,38722.98916828896,3495.565905758216,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
R1_plus_slow,FNN,Run8.xlsx,3.290046453475952,0.02352689362750097,41452.69306026793,41489.80405662315,37.110996355222596,652.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
R1_plus_slow,GRU,Run11.xlsx,2.3707234859466553,0.03308293772338064,23490.664799289658,23918.706127369696,428.0413280800385,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
R1_plus_slow,GRU,Run20.xlsx,10.476730346679688,0.08036167568469205,14430.763540241842,13898.924463873347,531.8390763684947,272.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
R1_plus_slow,GRU,Run4.xlsx,4.608468055725098,0.07206300918926765,38242.493552841646,38722.98916828896,480.49561544731114,326.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
R1_plus_slow,GRU,Run8.xlsx,3.3328797817230225,0.039392957780335594,41841.053228929995,41489.80405662315,351.24917230684514,652.0,250.0,D13_Run20,Run4.csv;Run8.csv;Run11.csv;Run20.csv
