candidate,test_files,baseline_transformer_rank,baseline_transformer_life_error,enhanced_transformer_rank,enhanced_transformer_life_error,enhanced_best_model,enhanced_best_life_error,hit_target,epochs
R2_Run16_Run28_Run8_Run11,Run16.csv;Run28.csv;Run8.csv;Run11.csv,5,1838.2410121965568,2,808.9354080331077,1D-CNN,753.6110597527995,0,300
R2_Run15_Run28_Run8_Run11,Run15.csv;Run28.csv;Run8.csv;Run11.csv,5,2607.0953260165043,2,1031.270349563637,GRU,1021.4537189656367,0,300
R2_Run4_Run28_Run24_Run11,Run4.csv;Run28.csv;Run24.csv;Run11.csv,4,1047.971771532495,3,1027.7271135842775,LSTM,504.1271828984736,0,300
R2_Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv,3,1073.316769243339,2,629.3024603155791,LSTM,382.47266400889566,0,300
R2_Run4_Run28_Run7_Run11,Run4.csv;Run28.csv;Run7.csv;Run11.csv,4,1604.4604850795436,2,521.8187369690031,LSTM,388.24794481621484,0,300
R2_Run4_Run28_Run8_Run12,Run4.csv;Run28.csv;Run8.csv;Run12.csv,3,1888.564660041587,4,1990.1208906405882,GRU,743.256217027827,0,300
R2_Run4_Run28_Run8_Run29,Run4.csv;Run28.csv;Run8.csv;Run29.csv,1,1076.5164611480814,2,1161.9487860318459,GRU,1096.7084974612126,0,300
R2_Run16_Run28_Run24_Run11,Run16.csv;Run28.csv;Run24.csv;Run11.csv,5,1474.4973153075325,3,1075.3413415911027,1D-CNN,563.7239600901548,0,300
R2_Run16_Run28_Run25_Run29,Run16.csv;Run28.csv;Run25.csv;Run29.csv,2,1246.4509420573677,2,834.4853885476459,GRU,626.3839669175095,0,300
R2_Run15_Run28_Run24_Run29,Run15.csv;Run28.csv;Run24.csv;Run29.csv,3,1839.2376348962052,2,795.309380629832,GRU,602.9731129894299,0,300
R2_Run16_Run30_Run24_Run29,Run16.csv;Run30.csv;Run24.csv;Run29.csv,2,964.0852742015295,1,820.751202192353,Transformer,820.751202192353,1,300
R2_Run15_Run20_Run24_Run29,Run15.csv;Run20.csv;Run24.csv;Run29.csv,2,2193.8794561118502,5,3269.9447307538476,FNN,1577.7092544270604,0,300
