model,variant,test_case,seed,epochs,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,stage,candidate,test_files
Transformer,T0_baseline_5d,Run11.xlsx,20260420,600,0.9823920726776123,1.220920443534851,0.010691949166357517,0.0894456613507925,22753.841263950908,23918.706127369696,1164.8648634187884,0.048700998173386016,326.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T0_baseline_5d,Run28.xlsx,20260420,600,1.9715619087219238,2.409396171569824,0.022942999377846718,0.07605675392510278,39919.17560219892,42449.22900678442,2530.053404585502,0.05960186942809109,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T0_baseline_5d,Run4.xlsx,20260420,600,6.216022968292236,6.3342413902282715,0.03711738809943199,0.008158313363381717,38889.76701338482,38722.98916828896,166.7778450958649,0.004306946562700864,326.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T0_baseline_5d,Run8.xlsx,20260420,600,1.0414729118347168,1.2461155652999878,0.012652569450438023,0.12412642939173531,38324.48645838187,41489.80405662315,3165.3175982412795,0.07629145690641047,652.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T1_R1_only,Run11.xlsx,20260420,600,2.0839931964874268,2.5380635261535645,0.020305214449763298,0.08582616865919314,23002.623507605655,23918.706127369696,916.0826197640417,0.038299840086909495,326.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T1_R1_only,Run28.xlsx,20260420,600,3.0158989429473877,3.582772731781006,0.029676154255867004,0.031691565563851797,42328.95676618404,42449.22900678442,120.27224060038134,0.0028333197896517484,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T1_R1_only,Run4.xlsx,20260420,600,3.7253518104553223,3.7604198455810547,0.021700721234083176,0.029245403800964593,38283.250172728265,38722.98916828896,439.7389955606923,0.011356018866456815,326.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T1_R1_only,Run8.xlsx,20260420,600,1.721964955329895,2.188425302505493,0.019683698192238808,0.11761390046671108,38976.722901031215,41489.80405662315,2513.0811555919354,0.06057105384643927,652.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T2_slow_only_5d,Run11.xlsx,20260420,600,2.152419090270996,2.5284464359283447,0.019789796322584152,0.03458861763429015,23264.145768130176,23918.706127369696,654.56035923952,0.027366043788234838,326.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T2_slow_only_5d,Run28.xlsx,20260420,600,1.828444480895996,2.307159900665283,0.019979504868388176,0.028827074500479326,41763.82448738155,42449.22900678442,685.4045194028731,0.016146453903634592,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T2_slow_only_5d,Run4.xlsx,20260420,600,3.5088465213775635,3.7030866146087646,0.021297328174114227,0.03555291065641585,38251.07568171773,38722.98916828896,471.9134865712258,0.012186907485894332,326.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T2_slow_only_5d,Run8.xlsx,20260420,600,1.0288536548614502,1.3122825622558594,0.012681289575994015,0.04395615282885636,40072.01492170882,41489.80405662315,1417.789134914332,0.03417198917062626,652.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T3_R1_plus_slow,Run11.xlsx,20260420,600,2.9629664421081543,3.5785977840423584,0.03164338320493698,0.024948006757936174,23782.535711340166,23918.706127369696,136.17041602953032,0.005693051091660566,326.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T3_R1_plus_slow,Run28.xlsx,20260420,600,3.8872127532958984,5.2283735275268555,0.035757265985012054,0.12021831098686608,43954.5425615147,42449.22900678442,1505.3135547302809,0.035461505189875064,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T3_R1_plus_slow,Run4.xlsx,20260420,600,6.523305416107178,6.706964492797852,0.037190474569797516,0.022221852906117556,39089.02272744872,38722.98916828896,366.03355915976135,0.009452616314535802,326.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T3_R1_plus_slow,Run8.xlsx,20260420,600,2.4982762336730957,2.7693288326263428,0.03240412473678589,0.02552942447921336,41882.44894810786,41489.80405662315,392.6448914847133,0.00946364776630065,652.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv
Transformer,T0_baseline_5d,Run18.xlsx,20260421,600,1.541550636291504,1.8547464609146118,0.020816072821617126,0.029863051732387437,34444.148620217864,35012.9039323269,568.7553121090386,0.016244162815181838,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T0_baseline_5d,Run28.xlsx,20260421,600,2.516899347305298,3.240795135498047,0.031136132776737213,0.049974648885039115,40109.37295835346,42449.22900678442,2339.8560484309637,0.055121284960369894,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T0_baseline_5d,Run4.xlsx,20260421,600,2.8196725845336914,3.3342363834381104,0.01764441654086113,0.060830488417068125,37891.07973873188,38722.98916828896,831.9094295570758,0.021483605667465964,326.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T0_baseline_5d,Run8.xlsx,20260421,600,2.0453097820281982,2.417018175125122,0.0236714705824852,0.16658761041669648,37109.01930556429,41489.80405662315,4380.784751058862,0.10558701952605493,652.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T1_R1_only,Run18.xlsx,20260421,600,1.3833045959472656,1.8782397508621216,0.01928904838860035,0.040706107277449104,33791.9431327709,35012.9039323269,1220.960799556,0.03487173762895755,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T1_R1_only,Run28.xlsx,20260421,600,2.5065932273864746,2.9440298080444336,0.02898024395108223,0.10324154189309398,39467.20665709707,42449.22900678442,2982.0223496873514,0.0702491522098258,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T1_R1_only,Run4.xlsx,20260421,600,1.8617826700210571,2.3195676803588867,0.010450433008372784,0.09529472909355052,37223.83862108922,38722.98916828896,1499.150547199737,0.038714742311975796,326.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T1_R1_only,Run8.xlsx,20260421,600,1.0258985757827759,1.2223519086837769,0.012350741773843765,0.147103426576538,37847.416107436315,41489.80405662315,3642.3879491868356,0.08778995302595047,652.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T2_slow_only_5d,Run18.xlsx,20260421,600,1.017039179801941,1.2298952341079712,0.0157733503729105,0.03145476013356825,34185.381372959346,35012.9039323269,827.5225593675568,0.023634787933243015,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T2_slow_only_5d,Run28.xlsx,20260421,600,2.531048059463501,3.1858885288238525,0.029211048036813736,0.04242757518088421,41137.83095928456,42449.22900678442,1311.3980474998607,0.030893330177805284,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T2_slow_only_5d,Run4.xlsx,20260421,600,1.6526849269866943,2.1083061695098877,0.010256486013531685,0.07618147258130213,37527.72903059515,38722.98916828896,1195.260137693811,0.030866938822807454,326.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T2_slow_only_5d,Run8.xlsx,20260421,600,1.0964009761810303,1.2905555963516235,0.013883170671761036,0.06275844877857284,39422.41309444552,41489.80405662315,2067.390962177633,0.04982889192140228,652.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T3_R1_plus_slow,Run18.xlsx,20260421,600,1.6393146514892578,1.935356855392456,0.025169795379042625,0.05041593129142888,33478.48150839365,35012.9039323269,1534.4224239332543,0.043824483307611184,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T3_R1_plus_slow,Run28.xlsx,20260421,600,1.9706127643585205,2.5137107372283936,0.02240394428372383,0.04281472143051179,40796.408231596724,42449.22900678442,1652.820775187698,0.03893641448525571,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T3_R1_plus_slow,Run4.xlsx,20260421,600,2.3393301963806152,3.024181604385376,0.012600550428032875,0.10543844582023493,37053.26399252945,38722.98916828896,1669.7251757595077,0.04311973872943878,326.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T3_R1_plus_slow,Run8.xlsx,20260421,600,0.9504354596138,1.3971470594406128,0.011084035970270634,0.08337597069992009,39129.26135468667,41489.80405662315,2360.5427019364797,0.05689452518780114,652.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv
Transformer,T0_baseline_5d,Run22.xlsx,20260422,600,0.8347057104110718,1.0529450178146362,0.01308546680957079,0.11483596020145218,31036.328178420532,33178.210761627095,2141.882583206563,0.06455690448756203,1087.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run22,Run4.csv;Run28.csv;Run8.csv;Run22.csv
Transformer,T0_baseline_5d,Run28.xlsx,20260422,600,3.7020442485809326,4.271930694580078,0.04468053951859474,0.08449817173144965,39240.07882000891,42449.22900678442,3209.150186775514,0.0755997284723973,543.0,250.0,stage1_transformer4,Run4_Run28_Run8_Run22,Run4.csv;Run28.csv;Run8.csv;Run22.csv
