candidate,test_files,runs,F_values,D_values,Cr_values,lifes,native_steps,max_native_step,coarse_step_count,max_life,min_life,life_ratio,duplicate_F_Cr,has_Run30_Run24_conflict,explainability_penalty,T0_error,T1_error,T2_error,T3_error,best_transformer_variant,best_transformer_variant_error,feature_first_path,slow_first_path,at_least_one_single_effective,T3_best,T3_near_best_5pct,T3_improve_pct_vs_T0,stage1_pass,epochs
Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv,Run4;Run28;Run8;Run11,2160;2150;2150;4500,8;13;16;22,0.008;0.02;0.03;0.04,39038;42639;41554;24038,326;543;652;326,652.0,0,42639.0,24038.0,1.7738164572759798,0,0,0,1756.7534278353587,997.2937528792627,807.4168750319877,600.0406053510715,T3_R1_plus_slow,600.0406053510715,1,1,1,1,1,-0.6584377774116934,1,600
Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv,Run4;Run28;Run8;Run18,2160;2150;2150;4500,8;13;16;22,0.008;0.02;0.03;0.02,39038;42639;41554;35031,326;543;652;543,652.0,0,42639.0,35031.0,1.217179069966601,0,0,0,2030.326385288985,2336.130411407481,1350.3929266847153,1804.377769204235,T2_slow_only_5d,1350.3929266847153,0,0,1,0,0,-0.11128684418519726,0,600
Run4_Run28_Run8_Run22,Run4.csv;Run28.csv;Run8.csv;Run22.csv,Run4;Run28;Run8;Run22,2160;2150;2150;3000,8;13;16;22,0.008;0.02;0.03;0.04,39038;42639;41554;34192,326;543;652;1087,1087.0,1,42639.0,34192.0,1.2470460926532523,0,0,1,2643.027555211698,1855.319149109222,1602.7603503255232,1279.3692285206262,T3_R1_plus_slow,1279.3692285206262,1,1,1,1,1,-0.5159455579651901,1,600
Run4_Run28_Run24_Run11,Run4.csv;Run28.csv;Run24.csv;Run11.csv,Run4;Run28;Run24;Run11,2160;2150;4000;4500,8;13;16;22,0.008;0.02;0.02;0.04,39038;42639;27965;24038,326;543;543;326,543.0,0,42639.0,24038.0,1.7738164572759798,0,0,0,1135.040310340879,1041.0087242320078,722.3569474588085,682.2697127599031,T3_R1_plus_slow,682.2697127599031,1,1,1,1,1,-0.39890265874786274,1,600
Run4_Run28_Run24_Run18,Run4.csv;Run28.csv;Run24.csv;Run18.csv,Run4;Run28;Run24;Run18,2160;2150;4000;4500,8;13;16;22,0.008;0.02;0.02;0.02,39038;42639;27965;35031,326;543;543;543,543.0,0,42639.0,27965.0,1.5247273377436081,0,0,0,964.0172237261368,1002.4921358225074,633.6329830714594,996.5331894176761,T2_slow_only_5d,633.6329830714594,0,0,1,0,0,0.033729652221210375,0,600
Run4_Run28_Run24_Run22,Run4.csv;Run28.csv;Run24.csv;Run22.csv,Run4;Run28;Run24;Run22,2160;2150;4000;3000,8;13;16;22,0.008;0.02;0.02;0.04,39038;42639;27965;34192,326;543;543;1087,1087.0,1,42639.0,27965.0,1.5247273377436081,0,0,1,1126.5602799664302,956.048376951403,1000.3017923218367,689.6816711117435,T3_R1_plus_slow,689.6816711117435,1,1,1,1,1,-0.38779869717020826,1,600
Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv,Run4;Run28;Run25;Run11,2160;2150;4000;4500,8;13;16;22,0.008;0.02;0.03;0.04,39038;42639;23074;24038,326;543;543;326,543.0,0,42639.0,23074.0,1.8479240703822484,0,0,0,1406.4860834171568,1071.384637631435,1152.2576116902783,670.0461706514589,T3_R1_plus_slow,670.0461706514589,1,1,1,1,1,-0.5236027014049548,1,600
Run4_Run28_Run25_Run18,Run4.csv;Run28.csv;Run25.csv;Run18.csv,Run4;Run28;Run25;Run18,2160;2150;4000;4500,8;13;16;22,0.008;0.02;0.03;0.02,39038;42639;23074;35031,326;543;543;543,543.0,0,42639.0,23074.0,1.8479240703822484,0,0,0,892.5657543132565,898.4237323642747,555.549302903185,794.6576510984614,T2_slow_only_5d,555.549302903185,0,0,1,0,0,-0.10969287443716232,0,600
Run4_Run28_Run25_Run22,Run4.csv;Run28.csv;Run25.csv;Run22.csv,Run4;Run28;Run25;Run22,2160;2150;4000;3000,8;13;16;22,0.008;0.02;0.03;0.04,39038;42639;23074;34192,326;543;543;1087,1087.0,1,42639.0,23074.0,1.8479240703822484,0,0,1,1092.8673857699305,1449.8148626553448,846.6284515187026,1464.0103937169843,T2_slow_only_5d,846.6284515187026,0,0,1,0,0,0.33960479814811356,0,600
Run4_Run30_Run8_Run11,Run4.csv;Run30.csv;Run8.csv;Run11.csv,Run4;Run30;Run8;Run11,2160;4000;2150;4500,8;13;16;22,0.008;0.02;0.03;0.04,39038;24111;41554;24038,326;435;652;326,652.0,0,41554.0,24038.0,1.7286795906481405,0,0,0,687.7851897825367,821.3911309514815,585.2506586515783,365.0777474615843,T3_R1_plus_slow,365.0777474615843,0,1,1,1,1,-0.469198009952767,1,600
Run4_Run30_Run8_Run18,Run4.csv;Run30.csv;Run8.csv;Run18.csv,Run4;Run30;Run8;Run18,2160;4000;2150;4500,8;13;16;22,0.008;0.02;0.03;0.02,39038;24111;41554;35031,326;435;652;543,652.0,0,41554.0,24111.0,1.723445730164655,0,0,0,743.2272608930098,1166.558825629886,178.09867549145474,949.8968426703777,T2_slow_only_5d,178.09867549145474,0,0,1,0,0,0.2780705077058776,0,600
Run4_Run30_Run8_Run22,Run4.csv;Run30.csv;Run8.csv;Run22.csv,Run4;Run30;Run8;Run22,2160;4000;2150;3000,8;13;16;22,0.008;0.02;0.03;0.04,39038;24111;41554;34192,326;435;652;1087,1087.0,1,41554.0,24111.0,1.723445730164655,0,0,1,2054.151272485986,1349.0279136297895,1328.7543361666567,927.8142955488302,T3_R1_plus_slow,927.8142955488302,1,1,1,1,1,-0.5483223129784567,1,600
Run4_Run30_Run24_Run11,Run4.csv;Run30.csv;Run24.csv;Run11.csv,Run4;Run30;Run24;Run11,2160;4000;4000;4500,8;13;16;22,0.008;0.02;0.02;0.04,39038;24111;27965;24038,326;435;543;326,543.0,0,39038.0,24038.0,1.6240119810300357,1,1,5,802.5868272256603,830.3846391271009,1039.6938859025213,780.2323151351875,T3_R1_plus_slow,780.2323151351875,0,0,0,1,1,-0.02785307624316073,0,600
Run4_Run30_Run24_Run18,Run4.csv;Run30.csv;Run24.csv;Run18.csv,Run4;Run30;Run24;Run18,2160;4000;4000;4500,8;13;16;22,0.008;0.02;0.02;0.02,39038;24111;27965;35031,326;435;543;543,543.0,0,39038.0,24111.0,1.6190950188710547,1,1,5,475.9245732274003,1060.201246981177,710.0121105792186,960.75237327368,T0_baseline_5d,475.9245732274003,0,0,0,0,0,1.0187072223619462,0,600
Run4_Run30_Run24_Run22,Run4.csv;Run30.csv;Run24.csv;Run22.csv,Run4;Run30;Run24;Run22,2160;4000;4000;3000,8;13;16;22,0.008;0.02;0.02;0.04,39038;24111;27965;34192,326;435;543;1087,1087.0,1,39038.0,24111.0,1.6190950188710547,1,1,6,706.0792022405458,516.0629907100938,748.9298082254227,415.5657766162585,T3_R1_plus_slow,415.5657766162585,1,0,1,1,1,-0.41144594643550436,1,600
Run4_Run30_Run25_Run11,Run4.csv;Run30.csv;Run25.csv;Run11.csv,Run4;Run30;Run25;Run11,2160;4000;4000;4500,8;13;16;22,0.008;0.02;0.03;0.04,39038;24111;23074;24038,326;435;543;326,543.0,0,39038.0,23074.0,1.6918609690560804,0,0,0,922.752667480645,582.0270964498268,656.5027273255837,603.071200450815,T1_R1_only,582.0270964498268,0,1,1,0,1,-0.34644328680473346,1,600
