model,variant,test_case,seed,epochs,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,stage,candidate,test_files
FNN,T0_baseline_5d,Run11.xlsx,20262420,800,2.3083319664001465,2.7162184715270996,0.02376263402402401,0.08911293390898542,23034.660981212175,23918.706127369696,884.0451461575212,0.036960408370330954,326.0,250.0,stage2_full,Run4_Run30_Run8_Run11,Run4.csv;Run30.csv;Run8.csv;Run11.csv
FNN,T0_baseline_5d,Run30.xlsx,20262420,800,4.137668132781982,4.841466903686523,0.024786505848169327,0.045635598170064184,23026.166346576352,23723.808846679636,697.642500103284,0.0294068505024616,435.0,250.0,stage2_full,Run4_Run30_Run8_Run11,Run4.csv;Run30.csv;Run8.csv;Run11.csv
FNN,T0_baseline_5d,Run4.xlsx,20262420,800,2.560330390930176,3.235793113708496,0.015837380662560463,0.09202640011406904,36746.99126489156,38722.98916828896,1975.997903397394,0.051029064280388226,326.0,250.0,stage2_full,Run4_Run30_Run8_Run11,Run4.csv;Run30.csv;Run8.csv;Run11.csv
FNN,T0_baseline_5d,Run8.xlsx,20262420,800,3.729462146759033,4.997325897216797,0.03774215281009674,0.17362730070153723,38126.0829443496,41489.80405662315,3363.7211122735534,0.08107343933663605,652.0,250.0,stage2_full,Run4_Run30_Run8_Run11,Run4.csv;Run30.csv;Run8.csv;Run11.csv
GRU,T0_baseline_5d,Run11.xlsx,20262420,800,1.8729462623596191,2.247659683227539,0.01846306025981903,0.04311672473668045,23286.123426649025,23918.706127369696,632.5827007206717,0.026447195653146974,326.0,250.0,stage2_full,Run4_Run30_Run8_Run11,Run4.csv;Run30.csv;Run8.csv;Run11.csv
GRU,T0_baseline_5d,Run30.xlsx,20262420,800,6.96262264251709,7.13738489151001,0.0410538911819458,0.10725332511945714,22364.230228973163,23723.808846679636,1359.5786177064729,0.05730861458600727,435.0,250.0,stage2_full,Run4_Run30_Run8_Run11,Run4.csv;Run30.csv;Run8.csv;Run11.csv
GRU,T0_baseline_5d,Run4.xlsx,20262420,800,3.670447826385498,4.966192245483398,0.02362298220396042,0.08098125130563909,37857.63308484642,38722.98916828896,865.356083442537,0.02234734719682216,326.0,250.0,stage2_full,Run4_Run30_Run8_Run11,Run4.csv;Run30.csv;Run8.csv;Run11.csv
GRU,T0_baseline_5d,Run8.xlsx,20262420,800,2.119075059890747,2.742793083190918,0.02320908196270466,0.013687525444968226,40750.45441420467,41489.80405662315,739.3496424184777,0.01782003215559783,652.0,250.0,stage2_full,Run4_Run30_Run8_Run11,Run4.csv;Run30.csv;Run8.csv;Run11.csv
LSTM,T0_baseline_5d,Run11.xlsx,20262420,800,1.8288124799728394,2.186678171157837,0.018221160396933556,0.04453566761679834,23300.17103037801,23918.706127369696,618.5350969916872,0.02585988948139255,326.0,250.0,stage2_full,Run4_Run30_Run8_Run11,Run4.csv;Run30.csv;Run8.csv;Run11.csv
LSTM,T0_baseline_5d,Run30.xlsx,20262420,800,6.801690101623535,7.0713582038879395,0.04296359047293663,0.08685091930277224,22378.16655741462,23723.808846679636,1345.6422892650153,0.056721173988608924,435.0,250.0,stage2_full,Run4_Run30_Run8_Run11,Run4.csv;Run30.csv;Run8.csv;Run11.csv
