model,variant,test_case,seed,epochs,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,stage,candidate,test_files
FNN,T0_baseline_5d,Run11.xlsx,20260420,1600,4.567492961883545,5.33773946762085,0.04644452780485153,0.02713680917774699,24098.482145550668,23918.706127369696,179.77601818097173,0.00751612638341075,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run25.xlsx,20260420,1600,4.516686916351318,5.013431549072266,0.03244365379214287,0.09753705079137741,21837.05264792304,22834.36330453385,997.3106566108108,0.043675868834616945,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run28.xlsx,20260420,1600,2.1035866737365723,2.5447115898132324,0.02312360145151615,0.06661827507365033,40792.49667461889,42449.22900678442,1656.732332165535,0.03902856119956263,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run4.xlsx,20260420,1600,8.374021530151367,8.65723705291748,0.04935827851295471,0.17014007766465195,35368.7004323712,38722.98916828896,3354.288735917755,0.0866226706140922,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run11.xlsx,20260420,1600,1.2777645587921143,1.431773066520691,0.013318085111677647,0.1058531946697866,22535.417482337805,23918.706127369696,1383.288645031891,0.0578329211315081,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run25.xlsx,20260420,1600,2.181131362915039,2.6279122829437256,0.01493910700082779,0.07189646519694076,22319.57414118397,22834.36330453385,514.7891633498803,0.022544493861480556,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run28.xlsx,20260420,1600,2.1466760635375977,2.59305477142334,0.025125525891780853,0.09263086505183318,39758.3586986795,42449.22900678442,2690.8703081049243,0.06339032229949,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run4.xlsx,20260420,1600,3.9568588733673096,4.395482540130615,0.024664731696248055,0.04594677334128062,38212.79102838316,38722.98916828896,510.1981399057986,0.01317558770291448,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run11.xlsx,20260420,1600,1.2703092098236084,1.5325942039489746,0.01282475981861353,0.06480718309062217,22975.220312541478,23918.706127369696,943.4858148282183,0.03944552058142503,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run25.xlsx,20260420,1600,1.873012661933899,2.310734748840332,0.013504465110599995,0.03760225000177371,22875.0176646813,22834.36330453385,40.65436014745137,0.0017804026153590755,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run28.xlsx,20260420,1600,1.805547833442688,2.1359102725982666,0.02121431566774845,0.07165253720028598,40398.9198251804,42449.22900678442,2050.309181604025,0.048300269040842544,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run4.xlsx,20260420,1600,2.284511089324951,2.7587192058563232,0.014359748922288418,0.07393148405154797,37571.12045925019,38722.98916828896,1151.8687090387684,0.029746378928361687,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run11.xlsx,20260420,1600,4.042787075042725,4.297250747680664,0.04222295060753822,0.01278311466856498,24051.450514267723,23918.706127369696,132.74438689802628,0.005549814701144287,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run25.xlsx,20260420,1600,9.78823184967041,11.812132835388184,0.06199765205383301,0.1943724187848442,24495.82307760635,22834.36330453385,1661.4597730725,0.07276137945753937,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run28.xlsx,20260420,1600,4.228362083435059,4.687446117401123,0.04538734629750252,0.09404235467459418,40811.15787390291,42449.22900678442,1638.071132881516,0.038588948991740514,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run4.xlsx,20260420,1600,7.114722728729248,7.647186279296875,0.04140322282910347,0.1557299060426031,36692.34096478436,38722.98916828896,2030.6482035045992,0.05244037836747217,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run11.xlsx,20260420,1600,1.0506956577301025,1.3013389110565186,0.011355839669704437,0.08774430034921471,22816.093648047157,23918.706127369696,1102.612479322539,0.046098332972151934,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run25.xlsx,20260420,1600,1.229218602180481,1.5650737285614014,0.008966035209596157,0.03716596071765705,22858.11525884444,22834.36330453385,23.75195431058819,0.001040184654759879,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run28.xlsx,20260420,1600,2.076669692993164,2.3948068618774414,0.02267540618777275,0.07930559110480292,40430.90210655245,42449.22900678442,2018.326900231972,0.047546844723832186,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run4.xlsx,20260420,1600,6.585457801818848,6.682839393615723,0.039399635046720505,0.011129393593429928,39027.194611691775,38722.98916828896,304.20544340281776,0.007855939067119792,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T1_R1_only,Run11.xlsx,20260520,1600,2.2903430461883545,2.728945255279541,0.0206497460603714,0.1153322887500822,22653.450223084277,23918.706127369696,1265.255904285419,0.05289817507467982,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T1_R1_only,Run25.xlsx,20260520,1600,3.4395782947540283,3.909681558609009,0.02505909837782383,0.0634400417670833,22391.94514362365,22834.36330453385,442.41816091020155,0.019375103873483422,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T1_R1_only,Run28.xlsx,20260520,1600,1.9161856174468994,2.365851640701294,0.022267965599894524,0.03382601086070571,42753.51006026682,42449.22900678442,304.2810534823948,0.007168117315717636,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T1_R1_only,Run4.xlsx,20260520,1600,1.243696928024292,1.8384746313095093,0.006656622048467398,0.07359552886931899,37602.58420319325,38722.98916828896,1120.4049650957095,0.028933844962909832,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T2_slow_only_5d,Run11.xlsx,20260520,1600,1.5806151628494263,1.8868811130523682,0.015080360695719719,0.10281807434456379,22636.10122580712,23918.706127369696,1282.6049015625758,0.05362350683739187,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T2_slow_only_5d,Run25.xlsx,20260520,1600,3.0999503135681152,3.8040292263031006,0.020215924829244614,0.04057950403332913,22785.469240738832,22834.36330453385,48.894063795018155,0.0021412492716759942,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T2_slow_only_5d,Run28.xlsx,20260520,1600,1.6216078996658325,2.0215864181518555,0.01883649080991745,0.038331758249535594,40978.2050556974,42449.22900678442,1471.0239510870233,0.03465372600411465,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T2_slow_only_5d,Run4.xlsx,20260520,1600,2.3559019565582275,2.486670732498169,0.01349747646600008,0.044783555480190716,37918.2290492398,38722.98916828896,804.760119049155,0.020782489583944345,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T3_R1_plus_slow,Run11.xlsx,20260520,1600,2.3909060955047607,2.9698879718780518,0.020860837772488594,0.11025246927084272,22701.67933343343,23918.706127369696,1217.0267939362675,0.050881798850467425,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T3_R1_plus_slow,Run25.xlsx,20260520,1600,4.617470741271973,5.293058395385742,0.032445188611745834,0.04267470791227701,22767.947435294,22834.36330453385,66.41586923984869,0.002908592998809893,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T3_R1_plus_slow,Run28.xlsx,20260520,1600,2.9741835594177246,3.4411075115203857,0.033103637397289276,0.07526434326227757,43595.41035245904,42449.22900678442,1146.1813456746168,0.027001228820703174,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T3_R1_plus_slow,Run4.xlsx,20260520,1600,1.5096063613891602,1.8479877710342407,0.009296516887843609,0.057949558785777726,37887.040062974826,38722.98916828896,835.9491053141319,0.021587928082750066,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run11.xlsx,20260421,1600,3.1452929973602295,4.116542339324951,0.026590241119265556,0.025360936663552207,23447.74325392788,23918.706127369696,470.96287344181474,0.01969014841078303,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run25.xlsx,20260421,1600,4.677950859069824,5.068882465362549,0.032418154180049896,0.05804951307881743,23466.913716090672,22834.36330453385,632.5504115568219,0.027701688158356778,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run28.xlsx,20260421,1600,4.249242305755615,5.1694464683532715,0.042381130158901215,0.07306036853101722,41193.71688269993,42449.22900678442,1255.5121240844892,0.02957679452514503,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run4.xlsx,20260421,1600,3.909546375274658,4.801311016082764,0.021549291908740997,0.13247399746063576,36310.50458881367,38722.98916828896,2412.484579475291,0.06230109377637932,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
