candidate,test_files,runs,F_values,D_values,Cr_values,lifes,native_steps,max_native_step,coarse_step_count,max_life,min_life,life_ratio,duplicate_F_Cr,has_Run30_Run24_conflict,explainability_penalty
Run15_Run30_Run25_Run11,Run15.csv;Run30.csv;Run25.csv;Run11.csv,Run15;Run30;Run25;Run11,2160;4000;4000;4500,8;13;16;22,0.032;0.02;0.03;0.04,23060;24111;23074;24038,326;435;543;326,543.0,0,24111.0,23060.0,1.0455767562879446,0,0,0
Run16_Run30_Run25_Run11,Run16.csv;Run30.csv;Run25.csv;Run11.csv,Run16;Run30;Run25;Run11,2160;4000;4000;4500,8;13;16;22,0.016;0.02;0.03;0.04,31421;24111;23074;24038,163;435;543;326,543.0,0,31421.0,23074.0,1.361749154892953,0,0,0
Run16_Run30_Run25_Run18,Run16.csv;Run30.csv;Run25.csv;Run18.csv,Run16;Run30;Run25;Run18,2160;4000;4000;4500,8;13;16;22,0.016;0.02;0.03;0.02,31421;24111;23074;35031,163;435;543;543,543.0,0,35031.0,23074.0,1.5182023056253793,0,0,0
Run15_Run30_Run25_Run18,Run15.csv;Run30.csv;Run25.csv;Run18.csv,Run15;Run30;Run25;Run18,2160;4000;4000;4500,8;13;16;22,0.032;0.02;0.03;0.02,23060;24111;23074;35031,326;435;543;543,543.0,0,35031.0,23060.0,1.5191240242844752,0,0,0
Run16_Run28_Run24_Run18,Run16.csv;Run28.csv;Run24.csv;Run18.csv,Run16;Run28;Run24;Run18,2160;2150;4000;4500,8;13;16;22,0.016;0.02;0.02;0.02,31421;42639;27965;35031,163;543;543;543,543.0,0,42639.0,27965.0,1.5247273377436081,0,0,0
Run4_Run28_Run24_Run18,Run4.csv;Run28.csv;Run24.csv;Run18.csv,Run4;Run28;Run24;Run18,2160;2150;4000;4500,8;13;16;22,0.008;0.02;0.02;0.02,39038;42639;27965;35031,326;543;543;543,543.0,0,42639.0,27965.0,1.5247273377436081,0,0,0
Run4_Run30_Run25_Run11,Run4.csv;Run30.csv;Run25.csv;Run11.csv,Run4;Run30;Run25;Run11,2160;4000;4000;4500,8;13;16;22,0.008;0.02;0.03;0.04,39038;24111;23074;24038,326;435;543;326,543.0,0,39038.0,23074.0,1.6918609690560804,0,0,0
Run4_Run30_Run25_Run18,Run4.csv;Run30.csv;Run25.csv;Run18.csv,Run4;Run30;Run25;Run18,2160;4000;4000;4500,8;13;16;22,0.008;0.02;0.03;0.02,39038;24111;23074;35031,326;435;543;543,543.0,0,39038.0,23074.0,1.6918609690560804,0,0,0
Run16_Run28_Run24_Run11,Run16.csv;Run28.csv;Run24.csv;Run11.csv,Run16;Run28;Run24;Run11,2160;2150;4000;4500,8;13;16;22,0.016;0.02;0.02;0.04,31421;42639;27965;24038,163;543;543;326,543.0,0,42639.0,24038.0,1.7738164572759798,0,0,0
Run4_Run28_Run24_Run11,Run4.csv;Run28.csv;Run24.csv;Run11.csv,Run4;Run28;Run24;Run11,2160;2150;4000;4500,8;13;16;22,0.008;0.02;0.02;0.04,39038;42639;27965;24038,326;543;543;326,543.0,0,42639.0,24038.0,1.7738164572759798,0,0,0
Run16_Run28_Run25_Run11,Run16.csv;Run28.csv;Run25.csv;Run11.csv,Run16;Run28;Run25;Run11,2160;2150;4000;4500,8;13;16;22,0.016;0.02;0.03;0.04,31421;42639;23074;24038,163;543;543;326,543.0,0,42639.0,23074.0,1.8479240703822484,0,0,0
Run16_Run28_Run25_Run18,Run16.csv;Run28.csv;Run25.csv;Run18.csv,Run16;Run28;Run25;Run18,2160;2150;4000;4500,8;13;16;22,0.016;0.02;0.03;0.02,31421;42639;23074;35031,163;543;543;543,543.0,0,42639.0,23074.0,1.8479240703822484,0,0,0
Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv,Run4;Run28;Run25;Run11,2160;2150;4000;4500,8;13;16;22,0.008;0.02;0.03;0.04,39038;42639;23074;24038,326;543;543;326,543.0,0,42639.0,23074.0,1.8479240703822484,0,0,0
Run4_Run28_Run25_Run18,Run4.csv;Run28.csv;Run25.csv;Run18.csv,Run4;Run28;Run25;Run18,2160;2150;4000;4500,8;13;16;22,0.008;0.02;0.03;0.02,39038;42639;23074;35031,326;543;543;543,543.0,0,42639.0,23074.0,1.8479240703822484,0,0,0
Run15_Run28_Run24_Run11,Run15.csv;Run28.csv;Run24.csv;Run11.csv,Run15;Run28;Run24;Run11,2160;2150;4000;4500,8;13;16;22,0.032;0.02;0.02;0.04,23060;42639;27965;24038,326;543;543;326,543.0,0,42639.0,23060.0,1.849045967042498,0,0,0
Run15_Run28_Run24_Run18,Run15.csv;Run28.csv;Run24.csv;Run18.csv,Run15;Run28;Run24;Run18,2160;2150;4000;4500,8;13;16;22,0.032;0.02;0.02;0.02,23060;42639;27965;35031,326;543;543;543,543.0,0,42639.0,23060.0,1.849045967042498,0,0,0
Run15_Run28_Run25_Run11,Run15.csv;Run28.csv;Run25.csv;Run11.csv,Run15;Run28;Run25;Run11,2160;2150;4000;4500,8;13;16;22,0.032;0.02;0.03;0.04,23060;42639;23074;24038,326;543;543;326,543.0,0,42639.0,23060.0,1.849045967042498,0,0,0
