test_case,model,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error
Run11.xlsx,FNN,1.8605382442474365,2.1265311241149902,0.017392046749591827,0.06391425833511047,22891.70080904017,23918.706127369696,1027.0053183295277,0.042937327498427935
Run4.xlsx,FNN,11.406926155090332,16.35967445373535,0.05800231546163559,0.29549461620075046,34450.92552534001,38722.98916828896,4272.063642948946,0.1103237052383194
Run8.xlsx,FNN,1.1845823526382446,1.4295768737792969,0.014861812815070152,0.10746743701224828,39045.81267797566,41489.80405662315,2443.9913786474935,0.05890583082320803
Run10.xlsx,FNN,3.5449137687683105,4.317763805389404,0.059445008635520935,0.2330863837912977,61994.243392898876,71205.57050271094,9211.32710981206,0.12936245078552341
Run11.xlsx,GRU,2.7862753868103027,3.1270933151245117,0.027212440967559814,0.03945141747924102,23438.79677792757,23918.706127369696,479.90934944212495,0.020064185198252604
Run4.xlsx,GRU,3.7662572860717773,4.262762069702148,0.02312665432691574,0.08371141308309936,37668.807935112425,38722.98916828896,1054.1812331765323,0.02722365333407222
Run8.xlsx,GRU,1.8538014888763428,2.160275459289551,0.02265462651848793,0.08337633165283073,39583.352927585285,41489.80405662315,1906.451129037865,0.045949870634145164
Run10.xlsx,GRU,4.408031463623047,6.913585186004639,0.058801911771297455,0.3693986514406529,55260.348594931056,71205.57050271094,15945.22190777988,0.22393222602117643
Run11.xlsx,LSTM,2.1401877403259277,2.507882595062256,0.020755212754011154,0.04871205917779561,23267.121871661275,23918.706127369696,651.5842557084216,0.027241618013895273
Run4.xlsx,LSTM,2.8805408477783203,3.0301220417022705,0.0167572982609272,0.047161652676041235,37877.126913277716,38722.98916828896,845.8622550112414,0.02184392974765324
Run8.xlsx,LSTM,2.1620163917541504,2.5028414726257324,0.026714390143752098,0.06217399985587827,40111.91457835375,41489.80405662315,1377.889478269397,0.03321031539191952
Run10.xlsx,LSTM,1.927008867263794,2.710700273513794,0.02870395965874195,0.1848214340203443,62474.621366786014,71205.57050271094,8730.949135924922,0.12261609694697297
Run11.xlsx,1D-CNN,1.7941855192184448,2.2776167392730713,0.016324128955602646,0.0589907794692129,22991.2998273561,23918.706127369696,927.4063000135975,0.03877326369892496
Run4.xlsx,1D-CNN,5.230422496795654,5.569917678833008,0.03125293180346489,0.04580424485322558,38290.626912086525,38722.98916828896,432.36225620243204,0.011165518610234312
Run8.xlsx,1D-CNN,1.7772632837295532,2.180630922317505,0.022824181243777275,0.08092632397175714,39685.971671678824,41489.80405662315,1803.832384944326,0.04347652214704481
Run10.xlsx,1D-CNN,7.104296684265137,9.293098449707031,0.1058240756392479,0.4478731093541821,52454.04571058702,71205.57050271094,18751.524792123913,0.2633435089381105
Run11.xlsx,Transformer,1.0960720777511597,1.2374982833862305,0.011602014303207397,0.09405057708454659,22716.69180459773,23918.706127369696,1202.0143227719673,0.050254153229322314
Run4.xlsx,Transformer,3.3510384559631348,3.7607314586639404,0.020863741636276245,0.04192383220044269,38278.07329579817,38722.98916828896,444.9158724907902,0.011489708879580528
Run8.xlsx,Transformer,0.7575896382331848,0.9320746064186096,0.010151233524084091,0.10727817925116288,39026.348947316576,41489.80405662315,2463.4551093065747,0.05937495163738488
Run10.xlsx,Transformer,2.383892774581909,2.6798415184020996,0.04510856792330742,0.18727168929141644,61819.28132448337,71205.57050271094,9386.28917822757,0.13181959096683615
