variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_variant,shape_variant,mean_k_factor,min_k_factor,max_k_factor,mean_raw_k_factor,mean_k_log_std
T3_fixed_k,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T5_calibk_s0p25_c0p05,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.05005411233739141,22608.635384985584,22834.36330453385,225.72791954826607,0.009885448371728715,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0004572598244834,1.0004572598244836,1.0004572598244836,1.0018302941996884,0.0
T5_calibk_s0p25_c0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.05005411233739141,22608.635384985584,22834.36330453385,225.72791954826607,0.009885448371728715,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0004572598244834,1.0004572598244836,1.0004572598244836,1.0018302941996884,0.0
T5_calibk_s0p25_c0p15,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.05005411233739141,22608.635384985584,22834.36330453385,225.72791954826607,0.009885448371728715,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0004572598244834,1.0004572598244836,1.0004572598244836,1.0018302941996884,0.0
T5_calibk_s0p25_c0p2,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.05005411233739141,22608.635384985584,22834.36330453385,225.72791954826607,0.009885448371728715,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0004572598244834,1.0004572598244836,1.0004572598244836,1.0018302941996884,0.0
T5_calibk_s0p5_c0p05,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.050849681382923444,22597.239680655668,22834.36330453385,237.12362387818212,0.010384507801498468,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.000914728735514,1.0009147287355142,1.0009147287355142,1.0018302941996884,0.0
T5_calibk_s0p5_c0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.050849681382923444,22597.239680655668,22834.36330453385,237.12362387818212,0.010384507801498468,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.000914728735514,1.0009147287355142,1.0009147287355142,1.0018302941996884,0.0
T5_calibk_s0p5_c0p15,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.050849681382923444,22597.239680655668,22834.36330453385,237.12362387818212,0.010384507801498468,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.000914728735514,1.0009147287355142,1.0009147287355142,1.0018302941996884,0.0
T5_calibk_s0p5_c0p2,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.050849681382923444,22597.239680655668,22834.36330453385,237.12362387818212,0.010384507801498468,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.000914728735514,1.0009147287355142,1.0009147287355142,1.0018302941996884,0.0
T5_calibk_s0p75_c0p05,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.051670089064699984,22585.847123618118,22834.36330453385,248.51618091573255,0.010883429399863701,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0013724068286987,1.0013724068286989,1.0013724068286989,1.0018302941996884,0.0
T5_calibk_s0p75_c0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.051670089064699984,22585.847123618118,22834.36330453385,248.51618091573255,0.010883429399863701,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0013724068286987,1.0013724068286989,1.0013724068286989,1.0018302941996884,0.0
T5_calibk_s0p75_c0p15,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.051670089064699984,22585.847123618118,22834.36330453385,248.51618091573255,0.010883429399863701,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0013724068286987,1.0013724068286989,1.0013724068286989,1.0018302941996884,0.0
T5_calibk_s0p75_c0p2,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.051670089064699984,22585.847123618118,22834.36330453385,248.51618091573255,0.010883429399863701,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0013724068286987,1.0013724068286989,1.0013724068286989,1.0018302941996884,0.0
T5_calibk_s1_c0p05,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.052528333868319094,22574.456294836567,22834.36330453385,259.9070096972828,0.011382275311599218,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0018302941996884,1.001830294199688,1.001830294199688,1.0018302941996884,0.0
T5_calibk_s1_c0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.052528333868319094,22574.456294836567,22834.36330453385,259.9070096972828,0.011382275311599218,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0018302941996884,1.001830294199688,1.001830294199688,1.0018302941996884,0.0
