variant,test_case,seed_count,mean_predicted_life,true_life,mean_life_abs_error,mean_wear_mae_um,mean_k_factor
T3_fixed_k,Run11.xlsx,1,23204.320881910444,23918.706127369696,714.3852454592525,0.05196110370378737,1.0
T3_fixed_k,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T3_fixed_k,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T3_fixed_k,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T4_dynk_s0p75_c0p1_d0p1,Run11.xlsx,1,23916.485940464147,23918.706127369696,2.220186905549781,0.037917388710858584,0.974856091247864
T4_dynk_s0p75_c0p1_d0p1,Run25.xlsx,1,22620.035920248058,22834.36330453385,214.3273842857925,0.04925870406148813,1.0
T4_dynk_s0p75_c0p1_d0p1,Run28.xlsx,1,42568.969250762966,42449.22900678442,119.74024397854373,0.05196594592314578,1.0
T4_dynk_s0p75_c0p1_d0p1,Run4.xlsx,1,38832.35894716884,38722.98916828896,109.36977887988178,0.00811266292543143,1.0
T5_calibk_s0p25_c0p05,Run11.xlsx,1,23208.394228817433,23918.706127369696,710.3118985522633,0.05162051802960536,0.999841251567322
T5_calibk_s0p25_c0p05,Run25.xlsx,1,22608.635384985584,22834.36330453385,225.72791954826607,0.05005411233739141,1.0004572598244834
T5_calibk_s0p25_c0p05,Run28.xlsx,1,42551.82520782879,42449.22900678442,102.59620104436908,0.05114511671259545,1.0003698412199464
T5_calibk_s0p25_c0p05,Run4.xlsx,1,38886.43524356925,38722.98916828896,163.44607528029155,0.0067253308811762455,0.9986842309427605
T5_calibk_s0p25_c0p1,Run11.xlsx,1,23208.394228817433,23918.706127369696,710.3118985522633,0.05162051802960536,0.999841251567322
T5_calibk_s0p25_c0p1,Run25.xlsx,1,22608.635384985584,22834.36330453385,225.72791954826607,0.05005411233739141,1.0004572598244834
T5_calibk_s0p25_c0p1,Run28.xlsx,1,42551.82520782879,42449.22900678442,102.59620104436908,0.05114511671259545,1.0003698412199464
T5_calibk_s0p25_c0p1,Run4.xlsx,1,38886.43524356925,38722.98916828896,163.44607528029155,0.0067253308811762455,0.9986842309427605
T5_calibk_s0p25_c0p15,Run11.xlsx,1,23208.394228817433,23918.706127369696,710.3118985522633,0.05162051802960536,0.999841251567322
T5_calibk_s0p25_c0p15,Run25.xlsx,1,22608.635384985584,22834.36330453385,225.72791954826607,0.05005411233739141,1.0004572598244834
T5_calibk_s0p25_c0p15,Run28.xlsx,1,42551.82520782879,42449.22900678442,102.59620104436908,0.05114511671259545,1.0003698412199464
T5_calibk_s0p25_c0p15,Run4.xlsx,1,38886.43524356925,38722.98916828896,163.44607528029155,0.0067253308811762455,0.9986842309427605
T5_calibk_s0p25_c0p2,Run11.xlsx,1,23208.394228817433,23918.706127369696,710.3118985522633,0.05162051802960536,0.999841251567322
T5_calibk_s0p25_c0p2,Run25.xlsx,1,22608.635384985584,22834.36330453385,225.72791954826607,0.05005411233739141,1.0004572598244834
T5_calibk_s0p25_c0p2,Run28.xlsx,1,42551.82520782879,42449.22900678442,102.59620104436908,0.05114511671259545,1.0003698412199464
T5_calibk_s0p25_c0p2,Run4.xlsx,1,38886.43524356925,38722.98916828896,163.44607528029155,0.0067253308811762455,0.9986842309427605
T5_calibk_s0p5_c0p05,Run11.xlsx,1,23212.467909301544,23918.706127369696,706.2382180681525,0.05127998755383421,0.9996825283357095
T5_calibk_s0p5_c0p05,Run25.xlsx,1,22597.239680655668,22834.36330453385,237.12362387818212,0.050849681382923444,1.000914728735514
T5_calibk_s0p5_c0p05,Run28.xlsx,1,42534.68506115235,42449.22900678442,85.45605436792539,0.050324064648912994,1.0007398192224206
T5_calibk_s0p5_c0p05,Run4.xlsx,1,38940.55808974285,38722.98916828896,217.5689214538943,0.006098156141389489,0.9973701931337329
T5_calibk_s0p5_c0p1,Run11.xlsx,1,23212.467909301544,23918.706127369696,706.2382180681525,0.05127998755383421,0.9996825283357095
T5_calibk_s0p5_c0p1,Run25.xlsx,1,22597.239680655668,22834.36330453385,237.12362387818212,0.050849681382923444,1.000914728735514
T5_calibk_s0p5_c0p1,Run28.xlsx,1,42534.68506115235,42449.22900678442,85.45605436792539,0.050324064648912994,1.0007398192224206
T5_calibk_s0p5_c0p1,Run4.xlsx,1,38940.55808974285,38722.98916828896,217.5689214538943,0.006098156141389489,0.9973701931337329
T5_calibk_s0p5_c0p15,Run11.xlsx,1,23212.467909301544,23918.706127369696,706.2382180681525,0.05127998755383421,0.9996825283357095
T5_calibk_s0p5_c0p15,Run25.xlsx,1,22597.239680655668,22834.36330453385,237.12362387818212,0.050849681382923444,1.000914728735514
T5_calibk_s0p5_c0p15,Run28.xlsx,1,42534.68506115235,42449.22900678442,85.45605436792539,0.050324064648912994,1.0007398192224206
T5_calibk_s0p5_c0p15,Run4.xlsx,1,38940.55808974285,38722.98916828896,217.5689214538943,0.006098156141389489,0.9973701931337329
T5_calibk_s0p5_c0p2,Run11.xlsx,1,23212.467909301544,23918.706127369696,706.2382180681525,0.05127998755383421,0.9996825283357095
T5_calibk_s0p5_c0p2,Run25.xlsx,1,22597.239680655668,22834.36330453385,237.12362387818212,0.050849681382923444,1.000914728735514
T5_calibk_s0p5_c0p2,Run28.xlsx,1,42534.68506115235,42449.22900678442,85.45605436792539,0.050324064648912994,1.0007398192224206
T5_calibk_s0p5_c0p2,Run4.xlsx,1,38940.55808974285,38722.98916828896,217.5689214538943,0.006098156141389489,0.9973701931337329
T5_calibk_s0p75_c0p05,Run11.xlsx,1,23216.542148175606,23918.706127369696,702.1639791940906,0.050939511787149186,0.9995238303011608
T5_calibk_s0p75_c0p05,Run25.xlsx,1,22585.847123618118,22834.36330453385,248.51618091573255,0.051670089064699984,1.0013724068286987
T5_calibk_s0p75_c0p05,Run28.xlsx,1,42517.54838730453,42449.22900678442,68.3193805201081,0.04950267371179119,1.0011099340580107
T5_calibk_s0p75_c0p05,Run4.xlsx,1,38994.734735154365,38722.98916828896,271.74556686540745,0.006522491306027998,0.9960578842949945
