variant,seed_count,case_count,mean_pressure_mae,mean_wear_mae_um,mean_life_abs_error,std_life_abs_error,delta_vs_fixed_mean,paired_delta_vs_fixed,win_rate_vs_fixed,mean_k_factor,min_k_factor,max_k_factor
T4_dynk_s0p75_c0p1_d0p1,1,4,3.227895885705948,0.03681367540523098,111.41439851244195,75.14645477566432,-178.04126463842567,-178.04126463842567,0.25,0.993714022811966,0.9446140637786984,1.0
T3_fixed_k,1,4,3.227895885705948,0.04032460415346318,289.4556631508676,248.7185444556293,0.0,,,1.0,1.0,1.0
T5_calibk_s0p25_c0p1,1,4,3.227895885705948,0.03988626949019212,300.5205236062975,240.5651400594877,11.06486045542988,11.06486045542988,0.5,0.9998381458886281,0.9986842309427604,1.0004572598244836
T5_calibk_s0p25_c0p15,1,4,3.227895885705948,0.03988626949019212,300.5205236062975,240.5651400594877,11.06486045542988,11.06486045542988,0.5,0.9998381458886281,0.9986842309427604,1.0004572598244836
T5_calibk_s0p25_c0p2,1,4,3.227895885705948,0.03988626949019212,300.5205236062975,240.5651400594877,11.06486045542988,11.06486045542988,0.5,0.9998381458886281,0.9986842309427604,1.0004572598244836
T5_calibk_s0p25_c0p05,1,4,3.227895885705948,0.03988626949019212,300.5205236062975,240.5651400594877,11.06486045542988,11.06486045542988,0.5,0.9998381458886281,0.9986842309427604,1.0004572598244836
T5_calibk_s0p5_c0p05,1,4,3.227895885705948,0.039637972431765034,311.5967044420386,235.19618491558754,22.14104129117095,22.14104129117095,0.5,0.9996768173568442,0.9973701931337329,1.0009147287355142
T5_calibk_s0p5_c0p1,1,4,3.227895885705948,0.039637972431765034,311.5967044420386,235.19618491558754,22.14104129117095,22.14104129117095,0.5,0.9996768173568442,0.9973701931337329,1.0009147287355142
T5_calibk_s0p5_c0p15,1,4,3.227895885705948,0.039637972431765034,311.5967044420386,235.19618491558754,22.14104129117095,22.14104129117095,0.5,0.9996768173568442,0.9973701931337329,1.0009147287355142
T5_calibk_s0p5_c0p2,1,4,3.227895885705948,0.039637972431765034,311.5967044420386,235.19618491558754,22.14104129117095,22.14104129117095,0.5,0.9996768173568442,0.9973701931337329,1.0009147287355142
T5_calibk_s0p75_c0p05,1,4,3.227895885705948,0.03965869146741709,322.6862768738347,232.81001030318964,33.230613722967064,33.230613722967064,0.5,0.9995160138707162,0.9960578842949944,1.0013724068286989
T5_calibk_s0p75_c0p1,1,4,3.227895885705948,0.03965869146741709,322.6862768738347,232.81001030318964,33.230613722967064,33.230613722967064,0.5,0.9995160138707162,0.9960578842949944,1.0013724068286989
T5_calibk_s0p75_c0p15,1,4,3.227895885705948,0.03965869146741709,322.6862768738347,232.81001030318964,33.230613722967064,33.230613722967064,0.5,0.9995160138707162,0.9960578842949944,1.0013724068286989
T5_calibk_s0p75_c0p2,1,4,3.227895885705948,0.03965869146741709,322.6862768738347,232.81001030318964,33.230613722967064,33.230613722967064,0.5,0.9995160138707162,0.9960578842949944,1.0013724068286989
T5_calibk_s1_c0p2,1,4,3.227895885705948,0.039963484266936605,333.81208637104555,233.50367183393234,44.35642322017793,44.35642322017793,0.5,0.999355734897077,0.9947473021516196,1.001830294199688
T5_calibk_s1_c0p05,1,4,3.227895885705948,0.039963484266936605,333.81208637104555,233.50367183393234,44.35642322017793,44.35642322017793,0.5,0.999355734897077,0.9947473021516196,1.001830294199688
T5_calibk_s1_c0p1,1,4,3.227895885705948,0.039963484266936605,333.81208637104555,233.50367183393234,44.35642322017793,44.35642322017793,0.5,0.999355734897077,0.9947473021516196,1.001830294199688
T5_calibk_s1_c0p15,1,4,3.227895885705948,0.039963484266936605,333.81208637104555,233.50367183393234,44.35642322017793,44.35642322017793,0.5,0.999355734897077,0.9947473021516196,1.001830294199688
