variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_variant,shape_variant,mean_k_factor,min_k_factor,max_k_factor,mean_raw_k_factor,mean_k_log_std
T3_fixed_k,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.521434697030491,16728.263761349768,22834.36330453385,6106.099543184082,0.2674083556326571,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p25_c0p05,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.5676350048355296,16105.747604299522,22834.36330453385,6728.615700234328,0.2946706072114713,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0355670361472324,1.0172511821587746,1.05,1.1938512772803385,0.9370698642534064
T4_dynk_s0p25_c0p1,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.5791428444864466,15884.735046693633,22834.36330453385,6949.628257840217,0.30434955269632336,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0490659911361733,1.0172511821587746,1.09483862064728,1.196022578288993,0.9369699988238779
T4_dynk_s0p25_c0p15,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.5791428444864466,15884.735046693633,22834.36330453385,6949.628257840217,0.30434955269632336,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0490659911361733,1.0172511821587746,1.09483862064728,1.196022578288993,0.9369699988238779
T4_dynk_s0p25_c0p2,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.5791428444864466,15884.735046693633,22834.36330453385,6949.628257840217,0.30434955269632336,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0490659911361733,1.0172511821587746,1.09483862064728,1.196022578288993,0.9369699988238779
T4_dynk_s0p5_c0p05,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.5864883608128987,15954.753118549623,22834.36330453385,6879.610185984227,0.3012832061149809,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0447408649484524,1.034502364317549,1.05,1.196022578288993,0.9369699988238779
T4_dynk_s0p5_c0p1,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.6099675033929192,15513.054558810978,22834.36330453385,7321.308745722872,0.32062679603022687,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.072383232173073,1.034502364317549,1.1,1.197968268651908,0.93686008685787
T4_dynk_s0p5_c0p15,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.6243132185568355,15211.023947818243,22834.36330453385,7623.339356715607,0.333853817382417,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0928519619953716,1.034502364317549,1.15,1.2011070188976594,0.9366151042045894
T4_dynk_s0p5_c0p2,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.6297337153147801,15092.758206272983,22834.36330453385,7741.605098260867,0.3390331052814484,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.1006747156581649,1.034502364317549,1.18967724129456,1.2011070188976594,0.9366151042045894
T4_dynk_s0p75_c0p05,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.6004147942315886,15862.361261971957,22834.36330453385,6972.002042561893,0.30532938228137835,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.05,1.05,1.05,1.196022578288993,0.9369699988238779
