variant,test_case,seed_count,mean_predicted_life,true_life,mean_life_abs_error,mean_wear_mae_um,mean_k_factor
T3_fixed_k,Run11.xlsx,1,18792.33514146401,23918.706127369696,5126.370985905687,0.3891294742430224,1.0
T3_fixed_k,Run25.xlsx,1,16728.263761349768,22834.36330453385,6106.099543184082,0.521434697030491,1.0
T3_fixed_k,Run28.xlsx,1,44468.275167245156,42449.22900678442,2019.0461604607335,0.11351958490036966,1.0
T3_fixed_k,Run4.xlsx,1,31889.809338287938,38722.98916828896,6833.17983000102,0.3199665400209425,1.0
T4_dynk_s0p25_c0p05,Run11.xlsx,1,19031.554152214165,23918.706127369696,4887.1519751555315,0.36128151073861897,0.9896774883606784
T4_dynk_s0p25_c0p05,Run25.xlsx,1,16105.747604299522,22834.36330453385,6728.615700234328,0.5676350048355296,1.0355670361472324
T4_dynk_s0p25_c0p05,Run28.xlsx,1,43753.38619367082,42449.22900678442,1304.1571868863975,0.09753488992305893,1.015821260119759
T4_dynk_s0p25_c0p05,Run4.xlsx,1,31838.31169275152,38722.98916828896,6884.677475537439,0.3211542640573438,1.0016041652266603
T4_dynk_s0p25_c0p1,Run11.xlsx,1,19031.554152214165,23918.706127369696,4887.1519751555315,0.36128151073861897,0.9896774883606784
T4_dynk_s0p25_c0p1,Run25.xlsx,1,15884.735046693633,22834.36330453385,6949.628257840217,0.5791428444864466,1.0490659911361733
T4_dynk_s0p25_c0p1,Run28.xlsx,1,43753.38619367082,42449.22900678442,1304.1571868863975,0.09753488992305893,1.015821260119759
T4_dynk_s0p25_c0p1,Run4.xlsx,1,31838.31169275152,38722.98916828896,6884.677475537439,0.3211542640573438,1.0016041652266603
T4_dynk_s0p25_c0p15,Run11.xlsx,1,19031.554152214165,23918.706127369696,4887.1519751555315,0.36128151073861897,0.9896774883606784
T4_dynk_s0p25_c0p15,Run25.xlsx,1,15884.735046693633,22834.36330453385,6949.628257840217,0.5791428444864466,1.0490659911361733
T4_dynk_s0p25_c0p15,Run28.xlsx,1,43753.38619367082,42449.22900678442,1304.1571868863975,0.09753488992305893,1.015821260119759
T4_dynk_s0p25_c0p15,Run4.xlsx,1,31838.31169275152,38722.98916828896,6884.677475537439,0.3211542640573438,1.0016041652266603
T4_dynk_s0p25_c0p2,Run11.xlsx,1,19031.554152214165,23918.706127369696,4887.1519751555315,0.36128151073861897,0.9896774883606784
T4_dynk_s0p25_c0p2,Run25.xlsx,1,15884.735046693633,22834.36330453385,6949.628257840217,0.5791428444864466,1.0490659911361733
T4_dynk_s0p25_c0p2,Run28.xlsx,1,43753.38619367082,42449.22900678442,1304.1571868863975,0.09753488992305893,1.015821260119759
T4_dynk_s0p25_c0p2,Run4.xlsx,1,31838.31169275152,38722.98916828896,6884.677475537439,0.3211542640573438,1.0016041652266603
T4_dynk_s0p5_c0p05,Run11.xlsx,1,19272.12534071352,23918.706127369696,4646.580786656177,0.33296459581312354,0.9795512653164677
T4_dynk_s0p5_c0p05,Run25.xlsx,1,15954.753118549623,22834.36330453385,6879.610185984227,0.5864883608128987,1.0447408649484524
T4_dynk_s0p5_c0p05,Run28.xlsx,1,43277.84380444265,42449.22900678442,828.6147976582288,0.08656147201473131,1.0266744787375741
T4_dynk_s0p5_c0p05,Run4.xlsx,1,31787.06846822707,38722.98916828896,6935.920700061888,0.3223146149401906,1.0032083304533206
T4_dynk_s0p5_c0p1,Run11.xlsx,1,19272.12534071352,23918.706127369696,4646.580786656177,0.33296459581312354,0.9795512653164677
