variant,seed_count,case_count,mean_pressure_mae,mean_wear_mae_um,mean_life_abs_error,std_life_abs_error,delta_vs_fixed_mean,paired_delta_vs_fixed,win_rate_vs_fixed,mean_k_factor,min_k_factor,max_k_factor
T4_dynk_s0p75_c0p1,1,4,27.001766443252563,0.33066891884646604,4727.566735066763,2943.291342909958,-293.60739482111785,-293.6073948211174,0.5,1.0261164615621765,0.9446140637786984,1.1
T4_dynk_s1_c0p1,1,4,27.001766443252563,0.32635010544663484,4766.656079166893,2894.8027538171873,-254.51805072098796,-254.5180507209884,0.5,1.02720747018644,0.9261520850382645,1.1
T4_dynk_s1_c0p05,1,4,27.001766443252563,0.3289078880638226,4783.159041120086,2567.9682256453393,-238.01508876779462,-238.01508876779462,0.5,1.0132991936281093,0.95,1.05
T4_dynk_s0p75_c0p05,1,4,27.001766443252563,0.3299295055925114,4793.4253201481315,2543.8185624312036,-227.74880973974905,-227.74880973974905,0.5,1.0134614138783964,0.95,1.05
T4_dynk_s0p5_c0p05,1,4,27.001766443252563,0.33208226089523607,4822.68161759013,2483.964362661954,-198.49251229775018,-198.49251229775018,0.5,1.0135437348639538,0.9630760425191323,1.05
T4_dynk_s0p75_c0p15,1,4,27.001766443252563,0.33552149034949036,4829.994415647021,3033.369194790708,-191.17971424085954,-191.17971424086,0.5,1.032982983994926,0.9446140637786984,1.15
T4_dynk_s0p5_c0p1,1,4,27.001766443252563,0.3367111454483574,4878.354169487212,2668.2172475858893,-142.8199604006686,-142.8199604006686,0.5,1.0217279288389198,0.9630760425191323,1.1
T4_dynk_s0p75_c0p2,1,4,27.001766443252563,0.3389231010722348,4906.305170808756,3111.65958117763,-114.86895907912458,-114.86895907912458,0.5,1.0384690056079857,0.9446140637786984,1.2
T4_dynk_s0p25_c0p05,1,4,27.001766443252563,0.3369014173886378,4951.150584453424,2247.363184948785,-70.02354543445654,-70.02354543445654,0.5,1.0106674874635826,0.9815380212595661,1.05
T4_dynk_s0p5_c0p15,1,4,27.001766443252563,0.3402975742393365,4953.861822235396,2739.600523585403,-67.31230765248438,-67.31230765248483,0.5,1.0268451112944945,0.9630760425191323,1.15
T4_dynk_s1_c0p15,1,4,27.001766443252563,0.330920948522657,4977.095461632357,2843.041025543982,-44.07866825552355,-44.07866825552355,0.5,1.0372984710858095,0.9261520850382645,1.15
T4_dynk_s0p5_c0p2,1,4,27.001766443252563,0.3416526984288226,4983.42825762171,2768.73390220343,-37.74587226617041,-37.745872266169954,0.5,1.028800799710193,0.9630760425191323,1.18967724129456
T4_dynk_s0p25_c0p1,1,4,27.001766443252563,0.3397783773013671,5006.403723854896,2292.6449940955304,-14.770406032984283,-14.770406032984283,0.5,1.0140422262108177,0.9815380212595661,1.09483862064728
T4_dynk_s0p25_c0p15,1,4,27.001766443252563,0.3397783773013671,5006.403723854896,2292.6449940955304,-14.770406032984283,-14.770406032984283,0.5,1.0140422262108177,0.9815380212595661,1.09483862064728
T4_dynk_s0p25_c0p2,1,4,27.001766443252563,0.3397783773013671,5006.403723854896,2292.6449940955304,-14.770406032984283,-14.770406032984283,0.5,1.0140422262108177,0.9815380212595661,1.09483862064728
T3_fixed_k,1,4,27.001766443252563,0.3360125740487063,5021.174129887881,1836.0464681613614,0.0,,,1.0,1.0,1.0
T4_dynk_s1_c0p2,1,4,27.001766443252563,0.3351236553447206,5065.9528376501785,2940.188025983195,44.77870776229793,44.77870776229838,0.5,1.0438702684987342,0.9261520850382645,1.2
