variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_variant,shape_variant,mean_k_factor,min_k_factor,max_k_factor,mean_raw_k_factor,mean_k_log_std
T3_fixed_k,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p25_c0p05,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.10808102750721602,22001.953475869803,22834.36330453385,832.4098286640474,0.03645426051790852,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.024984590156054,0.9672262912307423,1.05,1.1294373239748146,0.9167986067844475
T4_dynk_s0p25_c0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.12671684434812433,21772.563751164987,22834.36330453385,1061.7995533688627,0.04650007268466462,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.034704249236686,0.9672262912307423,1.09483862064728,1.1311481254977709,0.9189846781936397
T4_dynk_s0p25_c0p15,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.12671684434812433,21772.563751164987,22834.36330453385,1061.7995533688627,0.04650007268466462,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.034704249236686,0.9672262912307423,1.09483862064728,1.1311481254977709,0.9189846781936397
T4_dynk_s0p25_c0p2,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.12671684434812433,21772.563751164987,22834.36330453385,1061.7995533688627,0.04650007268466462,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.034704249236686,0.9672262912307423,1.09483862064728,1.1311481254977709,0.9189846781936397
T4_dynk_s0p5_c0p05,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.12820844962600633,21858.070302272787,22834.36330453385,976.2930022610635,0.042755429141622565,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0308973606834657,0.95,1.05,1.1311481254977709,0.9189846781936397
T4_dynk_s0p5_c0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.16672305438832458,21402.528601507667,22834.36330453385,1431.834703026183,0.06270526066044883,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0506533997596734,0.9344525824614847,1.1,1.134683755237477,0.9234271177690302
T4_dynk_s0p5_c0p15,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.19197392032541752,21078.445965834228,22834.36330453385,1755.9173386996226,0.07689802055268949,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0651373421879942,0.9344525824614847,1.15,1.136511944887404,0.9256840332829682
T4_dynk_s0p5_c0p2,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.20184399296860542,20950.163618982147,22834.36330453385,1884.1996855517027,0.08251597210847511,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.071253935862216,0.9344525824614847,1.18967724129456,1.1383827317645927,0.9279651497055122
T4_dynk_s0p75_c0p05,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.14303705247325194,21743.153264166383,22834.36330453385,1091.2100403674667,0.04778806511109521,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0356685735649487,0.95,1.05,1.132896385949618,0.9211940943131506
