variant,seed_count,case_count,mean_pressure_mae,mean_wear_mae_um,mean_life_abs_error,std_life_abs_error,delta_vs_fixed_mean,paired_delta_vs_fixed,win_rate_vs_fixed,mean_k_factor,min_k_factor,max_k_factor
T3_fixed_k,1,4,3.227895885705948,0.04032460415346318,289.4556631508676,248.7185444556293,0.0,,,1.0,1.0,1.0
T4_dynk_s0p25_c0p05,1,4,3.227895885705948,0.04489443854948075,455.426246260281,286.24454312430976,165.97058310941338,165.97058310941338,0.5,1.0073355497848409,0.9672262912307423,1.05
T4_dynk_s0p25_c0p1,1,4,3.227895885705948,0.049553392759707826,512.7736774364848,367.4781655403361,223.3180142856172,223.3180142856172,0.5,1.009765464554999,0.9672262912307423,1.09483862064728
T4_dynk_s0p25_c0p15,1,4,3.227895885705948,0.049553392759707826,512.7736774364848,367.4781655403361,223.3180142856172,223.3180142856172,0.5,1.009765464554999,0.9672262912307423,1.09483862064728
T4_dynk_s0p25_c0p2,1,4,3.227895885705948,0.049553392759707826,512.7736774364848,367.4781655403361,223.3180142856172,223.3180142856172,0.5,1.009765464554999,0.9672262912307423,1.09483862064728
T4_dynk_s0p5_c0p05,1,4,3.227895885705948,0.04827609668790487,513.5110190033802,477.4530452130884,224.05535585251255,224.05535585251255,0.5,1.0088649280647008,0.95,1.05
T4_dynk_s0p75_c0p05,1,4,3.227895885705948,0.057517696195630554,590.8168616823714,475.14265681326196,301.36119853150376,301.36119853150376,0.5,1.008857457236912,0.95,1.05
T4_dynk_s1_c0p05,1,4,3.227895885705948,0.05923574605917173,631.4321110764276,448.6020487608753,341.97644792556,341.97644792556,0.25,1.0088220526395646,0.95,1.05
T4_dynk_s0p5_c0p1,1,4,3.227895885705948,0.05856393405342221,672.7978127228598,658.6949838411001,383.3421495719922,383.3421495719922,0.5,1.0147196290944949,0.9344525824614847,1.1
T4_dynk_s0p5_c0p15,1,4,3.227895885705948,0.06487665053769544,753.8184716412197,759.3203943287438,464.3628084903521,464.3628084903521,0.5,1.0183406147015752,0.9344525824614847,1.15
T4_dynk_s0p5_c0p2,1,4,3.227895885705948,0.06734416869849241,785.8890583542398,802.451759336312,496.43339520337213,496.43339520337213,0.5,1.0198697631201306,0.9344525824614847,1.18967724129456
T4_dynk_s0p75_c0p1,1,4,3.227895885705948,0.07367011820311802,965.7817485802761,754.580311244833,676.3260854294085,676.3260854294085,0.5,1.0168482328372817,0.9016788736922271,1.1
T4_dynk_s0p75_c0p15,1,4,3.227895885705948,0.08234693535337177,1078.256215176073,862.468959011613,788.8005520252054,788.8005520252054,0.5,1.021917580569401,0.9016788736922271,1.15
T4_dynk_s1_c0p1,1,4,3.227895885705948,0.08722708139157304,1138.6783094864377,761.1429382226495,849.2226463355701,849.2226463355701,0.25,1.0171769950663727,0.9,1.1
T4_dynk_s0p75_c0p2,1,4,3.227895885705948,0.08877916680113225,1164.390742368717,962.9675464686429,874.9350792178493,874.9350792178493,0.5,1.0260826518298196,0.9016788736922271,1.2
T4_dynk_s1_c0p15,1,4,3.227895885705948,0.09892429989827897,1384.8157477038721,954.2808604542918,1095.3600845530045,1095.3600845530045,0.0,1.024183966346262,0.8682568612964863,1.15
T4_dynk_s1_c0p2,1,4,3.227895885705948,0.10679950632197281,1489.5028256026098,1051.736904516669,1200.0471624517422,1200.0471624517422,0.0,1.0291489015764625,0.8682568612964863,1.2
