variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_variant,shape_variant,mean_k_factor,min_k_factor,max_k_factor,mean_raw_k_factor,mean_k_log_std
T3_fixed_k,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p25_c0p05_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p25_c0p1_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p25_c0p15_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p25_c0p2_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p5_c0p05_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p5_c0p1_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p5_c0p15_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p5_c0p2_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p75_c0p05_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p75_c0p1_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p75_c0p15_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p75_c0p2_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s1_c0p05_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s1_c0p1_d0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.04925870406148813,22620.035920248058,22834.36330453385,214.3273842857925,0.009386177377813595,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
