variant,seed_count,case_count,mean_pressure_mae,mean_wear_mae_um,mean_life_abs_error,std_life_abs_error,delta_vs_fixed_mean,paired_delta_vs_fixed,win_rate_vs_fixed,mean_k_factor,min_k_factor,max_k_factor
T4_dynk_s0p75_c0p2_d0p1,1,4,3.227895885705948,0.03681367540523098,111.41439851244195,75.14645477566432,-178.04126463842567,-178.04126463842567,0.25,0.993714022811966,0.9446140637786984,1.0
T4_dynk_s0p75_c0p15_d0p1,1,4,3.227895885705948,0.03681367540523098,111.41439851244195,75.14645477566432,-178.04126463842567,-178.04126463842567,0.25,0.993714022811966,0.9446140637786984,1.0
T4_dynk_s0p75_c0p1_d0p1,1,4,3.227895885705948,0.03681367540523098,111.41439851244195,75.14645477566432,-178.04126463842567,-178.04126463842567,0.25,0.993714022811966,0.9446140637786984,1.0
T4_dynk_s1_c0p05_d0p1,1,4,3.227895885705948,0.03664005434408559,117.11157994126279,67.08326784710647,-172.34408320960483,-172.34408320960483,0.25,0.9934133084259491,0.95,1.0
T4_dynk_s0p75_c0p05_d0p1,1,4,3.227895885705948,0.03533623489318932,121.43194384750586,61.3215082884785,-168.02371930336176,-168.02371930336176,0.25,0.9940522242547503,0.95,1.0
T4_dynk_s1_c0p2_d0p1,1,4,3.227895885705948,0.04456733465668082,169.64312546106885,55.697968791218855,-119.81253768979877,-119.81253768979877,0.25,0.9917042205817783,0.9261520850382645,1.0
T4_dynk_s1_c0p1_d0p1,1,4,3.227895885705948,0.04456733465668082,169.64312546106885,55.697968791218855,-119.81253768979877,-119.81253768979877,0.25,0.9917042205817783,0.9261520850382645,1.0
T4_dynk_s1_c0p15_d0p1,1,4,3.227895885705948,0.04456733465668082,169.64312546106885,55.697968791218855,-119.81253768979877,-119.81253768979877,0.25,0.9917042205817783,0.9261520850382645,1.0
T4_dynk_s0p5_c0p2_d0p1,1,4,3.227895885705948,0.03107458577492833,170.754619578418,57.02243297222408,-118.70104357244963,-118.70104357244963,0.25,0.9957656959219493,0.9630760425191323,1.0
T4_dynk_s0p5_c0p1_d0p1,1,4,3.227895885705948,0.03107458577492833,170.754619578418,57.02243297222408,-118.70104357244963,-118.70104357244963,0.25,0.9957656959219493,0.9630760425191323,1.0
T4_dynk_s0p5_c0p05_d0p1,1,4,3.227895885705948,0.03107458577492833,170.754619578418,57.02243297222408,-118.70104357244963,-118.70104357244963,0.25,0.9957656959219493,0.9630760425191323,1.0
T4_dynk_s0p5_c0p15_d0p1,1,4,3.227895885705948,0.03107458577492833,170.754619578418,57.02243297222408,-118.70104357244963,-118.70104357244963,0.25,0.9957656959219493,0.9630760425191323,1.0
T4_dynk_s0p25_c0p2_d0p1,1,4,3.227895885705948,0.03297804424405798,230.09553612387026,148.2701602865571,-59.36012702699736,-59.36012702699736,0.25,0.9978605621500375,0.9815380212595661,1.0
T4_dynk_s0p25_c0p15_d0p1,1,4,3.227895885705948,0.03297804424405798,230.09553612387026,148.2701602865571,-59.36012702699736,-59.36012702699736,0.25,0.9978605621500375,0.9815380212595661,1.0
T4_dynk_s0p25_c0p1_d0p1,1,4,3.227895885705948,0.03297804424405798,230.09553612387026,148.2701602865571,-59.36012702699736,-59.36012702699736,0.25,0.9978605621500375,0.9815380212595661,1.0
T4_dynk_s0p25_c0p05_d0p1,1,4,3.227895885705948,0.03297804424405798,230.09553612387026,148.2701602865571,-59.36012702699736,-59.36012702699736,0.25,0.9978605621500375,0.9815380212595661,1.0
T3_fixed_k,1,4,3.227895885705948,0.04032460415346318,289.4556631508676,248.7185444556293,0.0,,,1.0,1.0,1.0
