train/eval | 01_五模型基准对比 | FNN | seed=20260425 | epochs=1600
    epoch    1 | loss=1.010223e+00 | data=1.010223e+00
    epoch  200 | loss=1.602729e-03 | data=1.563685e-03
    epoch  400 | loss=5.523172e-04 | data=5.158159e-04
    epoch  600 | loss=3.896101e-04 | data=3.585001e-04
    epoch  800 | loss=3.225587e-04 | data=2.958325e-04
    epoch 1000 | loss=2.876067e-04 | data=2.641334e-04
    epoch 1200 | loss=2.634743e-04 | data=2.433729e-04
    epoch 1400 | loss=2.457889e-04 | data=2.291758e-04
    epoch 1600 | loss=2.369808e-04 | data=2.227919e-04
train/eval | 01_五模型基准对比 | FNN | seed=20260426 | epochs=1600
    epoch    1 | loss=1.027791e+00 | data=1.027791e+00
    epoch  200 | loss=1.708818e-03 | data=1.619141e-03
    epoch  400 | loss=6.418834e-04 | data=5.639280e-04
    epoch  600 | loss=4.462900e-04 | data=3.787083e-04
    epoch  800 | loss=3.599487e-04 | data=3.037614e-04
    epoch 1000 | loss=3.141760e-04 | data=2.680041e-04
    epoch 1200 | loss=2.868871e-04 | data=2.487263e-04
    epoch 1400 | loss=2.651121e-04 | data=2.344683e-04
    epoch 1600 | loss=2.512458e-04 | data=2.255983e-04
train/eval | 01_五模型基准对比 | FNN | seed=20260427 | epochs=1600
    epoch    1 | loss=9.986995e-01 | data=9.986989e-01
    epoch  200 | loss=1.760626e-03 | data=1.724153e-03
    epoch  400 | loss=5.499250e-04 | data=5.200207e-04
    epoch  600 | loss=3.601120e-04 | data=3.334259e-04
    epoch  800 | loss=2.943435e-04 | data=2.712822e-04
    epoch 1000 | loss=2.599946e-04 | data=2.411533e-04
    epoch 1200 | loss=2.415431e-04 | data=2.260610e-04
    epoch 1400 | loss=2.295546e-04 | data=2.169260e-04
    epoch 1600 | loss=2.197888e-04 | data=2.094871e-04
train/eval | 01_五模型基准对比 | FNN | seed=20260428 | epochs=1600
    epoch    1 | loss=1.023954e+00 | data=1.023952e+00
