[2026-04-25 12:44:28] watchdog started
[2026-04-25 12:44:28] pipeline alive pid=21196
[2026-04-25 12:45:33] watchdog started
[2026-04-25 12:45:33] pipeline alive pid=21196
[2026-04-25 12:47:28] pipeline alive pid=21196
[2026-04-25 12:48:33] pipeline alive pid=21196
[2026-04-25 12:50:28] pipeline alive pid=21196
[2026-04-25 12:51:33] pipeline alive pid=21196
[2026-04-25 12:53:28] pipeline alive pid=21196
[2026-04-25 12:54:33] pipeline alive pid=21196
[2026-04-25 12:56:28] pipeline alive pid=21196
[2026-04-25 12:57:33] pipeline alive pid=21196
[2026-04-25 12:59:28] pipeline alive pid=21196
[2026-04-25 13:00:33] pipeline alive pid=21196
[2026-04-25 13:02:28] pipeline alive pid=21196
[2026-04-25 13:03:33] pipeline alive pid=21196
[2026-04-25 13:05:28] pipeline alive pid=21196
[2026-04-25 13:06:33] pipeline alive pid=21196
[2026-04-25 13:08:28] pipeline alive pid=21196
[2026-04-25 13:09:33] pipeline alive pid=21196
[2026-04-25 13:11:28] pipeline alive pid=21196
[2026-04-25 13:12:33] pipeline alive pid=21196
[2026-04-25 13:14:28] pipeline alive pid=21196
[2026-04-25 13:15:33] pipeline alive pid=21196
[2026-04-25 13:17:28] pipeline alive pid=21196
[2026-04-25 13:18:33] pipeline alive pid=21196
[2026-04-25 13:21:33] pipeline alive pid=21196
[2026-04-25 13:24:33] pipeline alive pid=21196
[2026-04-25 13:27:33] pipeline alive pid=21196
[2026-04-25 13:30:33] pipeline alive pid=21196
[2026-04-25 13:33:33] pipeline alive pid=21196
[2026-04-25 13:36:33] pipeline alive pid=21196
[2026-04-25 13:39:33] pipeline alive pid=21196
[2026-04-25 13:42:33] pipeline alive pid=21196
[2026-04-25 13:45:33] pipeline alive pid=21196
[2026-04-25 13:48:33] pipeline alive pid=21196
[2026-04-25 13:51:33] pipeline alive pid=21196
[2026-04-25 13:54:33] pipeline alive pid=21196
[2026-04-25 13:57:33] pipeline alive pid=21196
[2026-04-25 14:00:33] pipeline alive pid=21196
[2026-04-25 14:03:33] pipeline alive pid=21196
[2026-04-25 14:06:33] pipeline alive pid=21196
[2026-04-25 14:09:33] pipeline alive pid=21196
[2026-04-25 14:12:33] pipeline alive pid=21196
[2026-04-25 14:15:33] pipeline alive pid=21196
[2026-04-25 14:18:33] pipeline alive pid=21196
[2026-04-25 14:21:33] pipeline finished; watchdog exits
