file_name,source_file,F,D,Cr,elastic_modulus_GPa,k_sim,real_wear_coeff_mpa_inv,row_count,sim_life,actual_life,actual_life_mode,final_sim_cycle,final_actual_cycle,final_wear_depth,final_wear_um,stress_start,stress_end,has_measured_pressure,stress_source,wear_threshold_um
Run1.csv,Run1.xlsx,500.0,8.0,0.008,210.0,4e-06,1.84e-10,75,7.344961501078597,159673.07611040428,measured,7.34562492371,159687.4983415217,0.00500015,5.00015,93.8311,31.1956,True,measured_cpress,5.0
Run10.csv,Run10.xlsx,1000.0,13.0,0.03,210.0,3e-06,1.84e-10,46,4.367274990832938,71205.57050271094,measured,4.44562482834,72483.01350554348,0.00506695,5.066949999999999,140.182,35.7512,True,measured_cpress,5.0
Run11.csv,Run11.xlsx,4500.0,22.0,0.04,210.0,1e-06,1.84e-10,78,4.401041927436025,23918.706127369696,measured,4.42299890518,24038.037528152174,0.00501668,5.01668,166.181,66.0354,True,measured_cpress,5.0
Run12.csv,Run12.xlsx,9000.0,22.0,0.03,210.0,5e-07,1.84e-10,101,5.764450450354753,15664.267528137914,measured,5.80299854279,15769.017779320651,0.00502009,5.02009,212.393,118.599,True,measured_cpress,5.0
Run13.csv,Run13.xlsx,2000.0,22.0,0.02,210.0,2e-06,1.84e-10,127,7.328071669877308,79652.95293344899,measured,7.3629989624,80032.5974173913,0.00501556,5.01556,78.1072,20.3854,True,measured_cpress,5.0
Run14.csv,Run14.xlsx,3000.0,22.0,0.01,210.0,2e-06,1.84e-10,116,6.686147975486898,72675.52147268367,measured,6.70299863815,72858.68084945652,0.00500931,5.00931,70.2576,24.7838,True,measured_cpress,5.0
Run15.csv,Run15.xlsx,2160.0,8.0,0.032,210.0,1e-06,1.84e-10,75,4.212610262258683,22894.620990536318,measured,4.24299860001,23059.775000054346,0.00502856,5.02856,378.073,226.301,True,measured_cpress,5.0
Run16.csv,Run16.xlsx,2160.0,8.0,0.016,210.0,5e-07,1.84e-10,197,11.528775231394176,31328.193563571127,measured,11.5629987717,31421.19231440217,0.00501175,5.01175,293.087,164.117,True,measured_cpress,5.0
Run17.csv,Run17.xlsx,2150.0,22.0,0.03,210.0,2e-06,1.84e-10,50,5.144181761881032,55915.01915088077,measured,5.14562511444,55930.707765652165,0.00500113,5.001130000000001,99.582,28.3753,True,measured_cpress,5.0
Run18.csv,Run18.xlsx,4500.0,22.0,0.02,210.0,1e-06,1.84e-10,66,6.44237432354815,35012.9039323269,measured,6.44562482834,35030.56971923912,0.00500208,5.00208,120.11,45.978,True,measured_cpress,5.0
Run19.csv,Run19.xlsx,2150.0,16.0,0.01,210.0,2e-06,1.84e-10,65,6.2498961748716315,67933.65407469164,measured,6.34562492371,68974.18395336956,0.00502443,5.02443,93.6666,35.6667,True,measured_cpress,5.0
Run2.csv,Run2.xlsx,500.0,8.0,0.016,210.0,4e-06,1.84e-10,58,5.555723909366409,120776.6067253567,measured,5.64562511444,122730.98074869563,0.00507104,5.07104,131.112,37.7935,True,measured_cpress,5.0
Run20.csv,Run20.xlsx,5850.0,13.0,0.032,210.0,5e-07,1.84e-10,53,5.114804202705392,13898.924463873347,measured,5.14562511444,13982.676941413041,0.00503026,5.03026,365.1,228.138,True,measured_cpress,5.0
Run21.csv,Run21.xlsx,1000.0,13.0,0.01,210.0,3e-06,1.84e-10,77,7.449440928759154,121458.27601237751,measured,7.54562520981,123026.4979860326,0.00507259,5.07259,80.9774,24.3584,True,measured_cpress,5.0
Run22.csv,Run22.xlsx,3000.0,22.0,0.04,210.0,2e-06,1.84e-10,33,3.0523953900696927,33178.210761627095,measured,3.14562511444,34191.577330869564,0.00511443,5.11443,135.833,44.5018,True,measured_cpress,5.0
Run23.csv,Run23.xlsx,2150.0,13.0,0.03,210.0,2e-06,1.84e-10,33,3.0613585056820516,33275.635931326644,measured,3.14562511444,34191.577330869564,0.00511333,5.11333,204.145,78.7147,True,measured_cpress,5.0
Run24.csv,Run24.xlsx,4000.0,16.0,0.02,210.0,1e-06,1.84e-10,53,5.109920526169063,27771.307207440557,measured,5.14562511444,27965.353882826083,0.00503167,5.03167,178.844,83.8238,True,measured_cpress,5.0
Run25.csv,Run25.xlsx,4000.0,16.0,0.03,210.0,1e-06,1.84e-10,44,4.201522848034229,22834.36330453385,measured,4.24562501907,23074.049016684785,0.00501933,5.01933,213.871,104.311,True,measured_cpress,5.0
Run26.csv,Run26.xlsx,2150.0,16.0,0.02,210.0,2e-06,1.84e-10,48,4.60366530123026,50039.84023076369,measured,4.64562511444,50495.92515695651,0.00503888,5.03888,127.322,44.6523,True,measured_cpress,5.0
Run27.csv,Run27.xlsx,1000.0,13.0,0.02,210.0,2e-06,1.84e-10,84,8.209186526801293,89230.28833479666,measured,8.24562454224,89626.35372,0.00500755,5.00755,113.592,33.87,True,measured_cpress,5.0
Run28.csv,Run28.xlsx,2150.0,13.0,0.02,210.0,1e-06,1.84e-10,80,7.810658137248335,42449.22900678442,measured,7.84562492371,42639.26588972825,0.00500685,5.00685,168.54,68.0999,True,measured_cpress,5.0
Run29.csv,Run29.xlsx,4500.0,22.0,0.05,210.0,8e-07,1.84e-10,48,4.622751748981224,20098.92064774445,measured,4.64562511444,20198.370062782604,0.00502092,5.02092,184.188,82.7895,True,measured_cpress,5.0
Run3.csv,Run3.xlsx,1000.0,8.0,0.008,210.0,3e-06,1.84e-10,100,4.8860315596203066,79663.5580372876,measured,4.91756439209,80177.68030581521,0.00502493,5.02493,137.468,63.6377,True,measured_cpress,5.0
Run30.csv,Run30.xlsx,4000.0,13.0,0.02,210.0,8e-07,1.84e-10,57,5.456476034736316,23723.808846679633,measured,5.54562520981,24111.413955695647,0.00509374,5.09374,240.298,124.9,True,measured_cpress,5.0
