model,variant,test_case,seed,epochs,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,stage,candidate,test_files
T0_baseline_5d,T0_baseline_5d,Run11.xlsx,20260420,1600,1.0506956577301023,1.3013389110565186,0.0113558396697044,0.0877443003492147,22816.09364804716,23918.706127369696,1102.612479322539,0.0460983329721519,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
T0_baseline_5d,T0_baseline_5d,Run25.xlsx,20260420,1600,1.229218602180481,1.5650737285614014,0.0089660352095961,0.037165960717657,22858.11525884444,22834.36330453385,23.75195431058819,0.0010401846547598,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
T0_baseline_5d,T0_baseline_5d,Run28.xlsx,20260420,1600,2.076669692993164,2.3948068618774414,0.0226754061877727,0.0793055911048029,40430.90210655245,42449.22900678442,2018.326900231972,0.0475468447238321,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
T0_baseline_5d,T0_baseline_5d,Run4.xlsx,20260420,1600,6.585457801818848,6.682839393615723,0.0393996350467205,0.0111293935934299,39027.194611691775,38722.98916828896,304.20544340281776,0.0078559390671197,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
T1_R1_only,T1_R1_only,Run11.xlsx,20260520,1600,2.2903430461883545,2.728945255279541,0.0206497460603714,0.1153322887500822,22653.45022308428,23918.706127369696,1265.255904285419,0.0528981750746798,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
T1_R1_only,T1_R1_only,Run25.xlsx,20260520,1600,3.4395782947540283,3.909681558609009,0.0250590983778238,0.0634400417670833,22391.94514362365,22834.36330453385,442.4181609102016,0.0193751038734834,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
T1_R1_only,T1_R1_only,Run28.xlsx,20260520,1600,1.9161856174468996,2.365851640701294,0.0222679655998945,0.0338260108607057,42753.51006026682,42449.22900678442,304.2810534823948,0.0071681173157176,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
T1_R1_only,T1_R1_only,Run4.xlsx,20260520,1600,1.243696928024292,1.8384746313095093,0.0066566220484673,0.0735955288693189,37602.58420319325,38722.98916828896,1120.4049650957097,0.0289338449629098,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
T2_slow_only_5d,T2_slow_only_5d,Run11.xlsx,20260520,1600,1.5806151628494265,1.886881113052368,0.0150803606957197,0.1028180743445637,22636.10122580712,23918.706127369696,1282.6049015625758,0.0536235068373918,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
T2_slow_only_5d,T2_slow_only_5d,Run25.xlsx,20260520,1600,3.0999503135681152,3.8040292263031006,0.0202159248292446,0.0405795040333291,22785.469240738832,22834.36330453385,48.89406379501816,0.0021412492716759,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
