model,variant,test_case,seed,epochs,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,stage,candidate,test_files
FNN,T0_baseline_5d,Run11.xlsx,20260420,1600,4.567492961883545,5.33773946762085,0.0464445278048515,0.0271368091777469,24098.482145550668,23918.706127369696,179.77601818097173,0.0075161263834107,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run25.xlsx,20260420,1600,4.516686916351318,5.013431549072266,0.0324436537921428,0.0975370507913774,21837.05264792304,22834.36330453385,997.3106566108108,0.0436758688346169,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run28.xlsx,20260420,1600,2.1035866737365723,2.5447115898132324,0.0231236014515161,0.0666182750736503,40792.49667461889,42449.22900678442,1656.732332165535,0.0390285611995626,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
FNN,T0_baseline_5d,Run4.xlsx,20260420,1600,8.374021530151367,8.65723705291748,0.0493582785129547,0.1701400776646519,35368.7004323712,38722.98916828896,3354.288735917755,0.0866226706140922,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run11.xlsx,20260420,1600,1.2777645587921145,1.431773066520691,0.0133180851116776,0.1058531946697866,22535.417482337805,23918.706127369696,1383.288645031891,0.0578329211315081,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run25.xlsx,20260420,1600,2.181131362915039,2.6279122829437256,0.0149391070008277,0.0718964651969407,22319.57414118397,22834.36330453385,514.7891633498803,0.0225444938614805,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run28.xlsx,20260420,1600,2.1466760635375977,2.59305477142334,0.0251255258917808,0.0926308650518331,39758.3586986795,42449.22900678442,2690.8703081049243,0.06339032229949,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run4.xlsx,20260420,1600,3.9568588733673096,4.395482540130615,0.024664731696248,0.0459467733412806,38212.79102838316,38722.98916828896,510.1981399057986,0.0131755877029144,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run11.xlsx,20260420,1600,1.2703092098236084,1.5325942039489746,0.0128247598186135,0.0648071830906221,22975.22031254148,23918.706127369696,943.4858148282184,0.039445520581425,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run25.xlsx,20260420,1600,1.873012661933899,2.310734748840332,0.0135044651105999,0.0376022500017737,22875.0176646813,22834.36330453385,40.65436014745137,0.001780402615359,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
