stage,model,variant,feature_variant,shape_variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_name,feature_columns,description,shape_name,shape_mono_lambda,shape_slow_lambda,shape_mono_tolerance_ratio
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run25.xlsx,Run25.csv,2.0304019451141357,2.4135210514068604,0.015063132159411907,0.06150151830985851,22381.952413469648,22834.36330453385,452.4108910642026,0.019812721950271093,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run11.xlsx,Run11.csv,3.684272289276123,4.9625091552734375,0.03354166820645332,0.10517249146882876,23067.823059547714,23918.706127369696,850.883067821982,0.03557395886261312,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run4.xlsx,Run4.csv,5.68582820892334,7.4506001472473145,0.029465753585100174,0.1889764944470793,35654.80329549788,38722.98916828896,3068.1858727910803,0.07923422077404293,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run28.xlsx,Run28.csv,2.427384853363037,3.0282554626464844,0.02787799760699272,0.08794603719456781,39817.25792624799,42449.22900678442,2631.9710805364302,0.062002800571849655,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run25.xlsx,Run25.csv,3.283045530319214,3.909844398498535,0.02511422336101532,0.07201883990330901,22123.9453086734,22834.36330453385,710.4179958604509,0.031111793501130584,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run11.xlsx,Run11.csv,2.4426815509796143,3.1019723415374756,0.023824961856007576,0.10289206558429519,22820.206390224714,23918.706127369696,1098.4997371449826,0.045926386289264674,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run4.xlsx,Run4.csv,7.635689735412598,9.872771263122559,0.0405033715069294,0.2622697516140356,34058.62730602347,38722.98916828896,4664.36186226549,0.12045459202527761,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run28.xlsx,Run28.csv,3.83502197265625,4.677741527557373,0.04233432188630104,0.12164066825650807,39117.40981522485,42449.22900678442,3331.8191915595744,0.07848951016347243,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260427,1600,Run25.xlsx,Run25.csv,3.4063351154327393,4.0504350662231445,0.02275812439620495,0.06001925342203478,22395.64165987977,22834.36330453385,438.7216446540806,0.019213219952884376,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260427,1600,Run11.xlsx,Run11.csv,1.8914430141448975,2.293321371078491,0.02028757892549038,0.08528544154924896,23063.258218888794,23918.706127369696,855.4479084809027,0.03576480700609599,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260427,1600,Run4.xlsx,Run4.csv,3.1535727977752686,3.787580966949463,0.01771022379398346,0.1345997217720635,36299.57912277477,38722.98916828896,2423.410045514189,0.06258323795671147,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260427,1600,Run28.xlsx,Run28.csv,3.683741807937622,4.371480464935303,0.03612751141190529,0.12734779498994314,39664.43774381264,42449.22900678442,2784.791262971783,0.06560287025535153,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260428,1600,Run25.xlsx,Run25.csv,3.6339175701141357,4.173050880432129,0.02617824263870716,0.08191362222046521,22084.46216746482,22834.36330453385,749.9011370690314,0.032840904170081925,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260428,1600,Run11.xlsx,Run11.csv,2.75795841217041,3.248051643371582,0.026796940714120865,0.09124838338633352,23057.219003911847,23918.706127369696,861.4871234578495,0.03601729620617175,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260428,1600,Run4.xlsx,Run4.csv,1.9767098426818848,3.110299587249756,0.01062442734837532,0.1133057367524939,36609.79127101783,38722.98916828896,2113.1978972711295,0.054572179024900025,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260428,1600,Run28.xlsx,Run28.csv,5.652137279510498,7.059896945953369,0.05368282273411751,0.12283687646633887,40746.08516964657,42449.22900678442,1703.1438371378536,0.04012190272915556,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260429,1600,Run25.xlsx,Run25.csv,4.072826862335205,4.735498905181885,0.030357325449585915,0.04143964101030606,23187.600733422925,22834.36330453385,353.2374288890751,0.015469554555915227,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260429,1600,Run11.xlsx,Run11.csv,5.158743381500244,5.401644706726074,0.05415720120072365,0.020512188370336866,24318.234045920068,23918.706127369696,399.5279185503714,0.016703575704423226,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260429,1600,Run4.xlsx,Run4.csv,3.758535385131836,4.5517048835754395,0.02059377357363701,0.1306661388573194,36683.389789106266,38722.98916828896,2039.5993791826913,0.05267153757987673,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260429,1600,Run28.xlsx,Run28.csv,2.7278759479522705,3.0282492637634277,0.028756428509950638,0.09420349985456487,40284.76252156772,42449.22900678442,2164.4664852167043,0.05098953587286049,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run25.xlsx,Run25.csv,1.9852286577224731,2.3561346530914307,0.013698335736989975,0.05214702822311894,22509.707982676075,22834.36330453385,324.65532185777556,0.014217839907684836,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run11.xlsx,Run11.csv,1.6052473783493042,1.9717320203781128,0.016514362767338753,0.05292215116654859,23269.094245909408,23918.706127369696,649.6118814602887,0.027159156436014357,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run4.xlsx,Run4.csv,10.382168769836426,10.496570587158203,0.06152858957648277,0.05883036353332821,40139.82716007738,38722.98916828896,1416.837991788423,0.036589065622772234,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run28.xlsx,Run28.csv,3.803539514541626,4.227134704589844,0.0439167320728302,0.12673404049850587,38716.041103008676,42449.22900678442,3733.1879037757462,0.08794477523205643,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run25.xlsx,Run25.csv,1.9363595247268677,2.3896937370300293,0.013726655393838882,0.058039608693184926,22473.54052477756,22834.36330453385,360.8227797562904,0.01580174471887498,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run11.xlsx,Run11.csv,1.2135827541351318,1.4388693571090698,0.013342860154807568,0.1013884714286065,22546.49283324617,23918.706127369696,1372.213294123525,0.057369879742505334,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run4.xlsx,Run4.csv,6.02166223526001,6.280545711517334,0.0367678701877594,0.01858618459744982,38812.596728451295,38722.98916828896,89.6075601623379,0.00231406619393214,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run28.xlsx,Run28.csv,3.0879392623901367,3.4953622817993164,0.03432920575141907,0.11970967095671577,39175.48299533371,42449.22900678442,3273.746011450712,0.07712144809337969,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260427,1600,Run25.xlsx,Run25.csv,2.2350635528564453,2.7940196990966797,0.016750650480389595,0.038495372829708274,22911.771901569857,22834.36330453385,77.40859703600654,0.0033900046173232588,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
