stage,model,variant,feature_variant,shape_variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_name,feature_columns,description,shape_name,shape_mono_lambda,shape_slow_lambda,shape_mono_tolerance_ratio
02_模块一_粗筛,Transformer,M1_0_5d_baseline,M1_0_5d_baseline,S0_no_shape_loss,20260425,800,Run25.xlsx,Run25.csv,2.275169610977173,3.2912018299102783,0.014717312529683113,0.08168864177137344,22214.095738581866,22834.36330453385,620.2675659519846,0.027163777578542252,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,原始 5 维,none,0.0,0.0,0.0
02_模块一_粗筛,Transformer,M1_0_5d_baseline,M1_0_5d_baseline,S0_no_shape_loss,20260425,800,Run11.xlsx,Run11.csv,1.4968446493148804,2.0381827354431152,0.014171154238283634,0.10122656051507191,22720.87127573026,23918.706127369696,1197.8348516394362,0.05007941672349817,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,原始 5 维,none,0.0,0.0,0.0
02_模块一_粗筛,Transformer,M1_0_5d_baseline,M1_0_5d_baseline,S0_no_shape_loss,20260425,800,Run4.xlsx,Run4.csv,2.5841739177703857,3.301780939102173,0.014179293997585773,0.09813082282584318,37297.888701658965,38722.98916828896,1425.1004666299923,0.03680243951303832,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,原始 5 维,none,0.0,0.0,0.0
02_模块一_粗筛,Transformer,M1_0_5d_baseline,M1_0_5d_baseline,S0_no_shape_loss,20260425,800,Run28.xlsx,Run28.csv,1.578920841217041,1.9812575578689575,0.018668314442038536,0.0626754740098022,40316.87552018066,42449.22900678442,2132.353486603759,0.05023303217740319,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,原始 5 维,none,0.0,0.0,0.0
02_模块一_粗筛,Transformer,M1_0_5d_baseline,M1_0_5d_baseline,S0_no_shape_loss,20260426,800,Run25.xlsx,Run25.csv,3.7100510597229004,4.236669540405273,0.02823362872004509,0.04123604884445189,23069.243054801555,22834.36330453385,234.87975026770437,0.010286240397211693,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,原始 5 维,none,0.0,0.0,0.0
02_模块一_粗筛,Transformer,M1_0_5d_baseline,M1_0_5d_baseline,S0_no_shape_loss,20260426,800,Run11.xlsx,Run11.csv,1.5833624601364136,1.9126880168914795,0.015657072886824608,0.09742789355565151,22834.645482725635,23918.706127369696,1084.0606446440615,0.045322712644710855,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,原始 5 维,none,0.0,0.0,0.0
02_模块一_粗筛,Transformer,M1_0_5d_baseline,M1_0_5d_baseline,S0_no_shape_loss,20260426,800,Run4.xlsx,Run4.csv,7.395693302154541,7.661758899688721,0.04190933331847191,0.02869422229086772,39168.6644661315,38722.98916828896,445.67529784254293,0.01150932062361331,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,原始 5 维,none,0.0,0.0,0.0
02_模块一_粗筛,Transformer,M1_0_5d_baseline,M1_0_5d_baseline,S0_no_shape_loss,20260426,800,Run28.xlsx,Run28.csv,3.542665481567383,4.091652870178223,0.04230004921555519,0.12967972898281208,38541.32792532738,42449.22900678442,3907.901081457043,0.09206059033092132,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,原始 5 维,none,0.0,0.0,0.0
02_模块一_粗筛,Transformer,M1_R1_static_ratio,M1_R1_static_ratio,S0_no_shape_loss,20260425,800,Run25.xlsx,Run25.csv,2.133040189743042,2.460416793823242,0.01454639807343483,0.05888471628855257,22507.558588280834,22834.36330453385,326.8047162530165,0.014311969722761142,543.0,250.0,R1_static_derived,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|wear_depth,静态派生 F/D^2 与 Cr/D,none,0.0,0.0,0.0
02_模块一_粗筛,Transformer,M1_R1_static_ratio,M1_R1_static_ratio,S0_no_shape_loss,20260425,800,Run11.xlsx,Run11.csv,1.3283686637878418,1.6919958591461182,0.013654964044690132,0.0863020379504501,22945.309476693223,23918.706127369696,973.3966506764737,0.0406960412278587,326.0,250.0,R1_static_derived,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|wear_depth,静态派生 F/D^2 与 Cr/D,none,0.0,0.0,0.0
