stage,model,variant,feature_variant,shape_variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_name,feature_columns,description,shape_name,shape_mono_lambda,shape_slow_lambda,shape_mono_tolerance_ratio
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,M1_R2_log_cycle_replace,S2_temporal_mono_plus_slow_abs_0p003,20260425,1200,Run25.xlsx,Run25.csv,3.3850395679473877,4.111086368560791,0.022819727659225464,0.043985659953882913,22717.682759807998,22834.36330453385,116.68054472585209,0.005109866352292149,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S2_temporal_mono_plus_slow_abs_0p003,temporal_mono_plus_slow_abs_0p003,0.005,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,M1_R2_log_cycle_replace,S2_temporal_mono_plus_slow_abs_0p003,20260425,1200,Run11.xlsx,Run11.csv,1.289472222328186,1.6972663402557373,0.012776903808116913,0.06808056369805451,23078.71908050746,23918.706127369696,839.9870468622357,0.035118414950591974,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S2_temporal_mono_plus_slow_abs_0p003,temporal_mono_plus_slow_abs_0p003,0.005,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,M1_R2_log_cycle_replace,S2_temporal_mono_plus_slow_abs_0p003,20260425,1200,Run4.xlsx,Run4.csv,6.10966157913208,6.256998062133789,0.03641892969608307,0.010702401664322582,39049.085203586,38722.98916828896,326.0960352970433,0.008421251620835355,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S2_temporal_mono_plus_slow_abs_0p003,temporal_mono_plus_slow_abs_0p003,0.005,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,M1_R2_log_cycle_replace,S2_temporal_mono_plus_slow_abs_0p003,20260425,1200,Run28.xlsx,Run28.csv,2.243577718734741,2.6555604934692383,0.023655541241168976,0.0384601375043794,42294.40073716009,42449.22900678442,154.8282696243332,0.003647375305676055,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S2_temporal_mono_plus_slow_abs_0p003,temporal_mono_plus_slow_abs_0p003,0.005,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,M1_R2_log_cycle_replace,S2_temporal_mono_plus_slow_abs_0p003,20260426,1200,Run25.xlsx,Run25.csv,2.9886574745178223,3.574542760848999,0.020072389394044876,0.050050331698064256,22635.646576069383,22834.36330453385,198.71672846446745,0.008702529858803267,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S2_temporal_mono_plus_slow_abs_0p003,temporal_mono_plus_slow_abs_0p003,0.005,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,M1_R2_log_cycle_replace,S2_temporal_mono_plus_slow_abs_0p003,20260426,1200,Run11.xlsx,Run11.csv,1.078806757926941,1.4527442455291748,0.011148589663207531,0.07065209329002244,23093.01752319421,23918.706127369696,825.6886041754879,0.03452062163306856,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S2_temporal_mono_plus_slow_abs_0p003,temporal_mono_plus_slow_abs_0p003,0.005,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,M1_R2_log_cycle_replace,S2_temporal_mono_plus_slow_abs_0p003,20260426,1200,Run4.xlsx,Run4.csv,3.5578768253326416,3.71059513092041,0.02131081372499466,0.028600102117580906,38414.826128183326,38722.98916828896,308.1630401056318,0.00795814183575458,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S2_temporal_mono_plus_slow_abs_0p003,temporal_mono_plus_slow_abs_0p003,0.005,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,M1_R2_log_cycle_replace,S2_temporal_mono_plus_slow_abs_0p003,20260426,1200,Run28.xlsx,Run28.csv,2.268907070159912,2.613024950027466,0.025111177936196327,0.04434195876007,42678.92504206859,42449.22900678442,229.69603528417065,0.005411076729979233,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S2_temporal_mono_plus_slow_abs_0p003,temporal_mono_plus_slow_abs_0p003,0.005,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,M1_R2_log_cycle_replace,S2_temporal_mono_plus_slow_abs_0p003,20260427,1200,Run25.xlsx,Run25.csv,2.7612364292144775,3.354519844055176,0.0209432952105999,0.04135062315925902,23228.063789959953,22834.36330453385,393.7004854261031,0.01724157928887522,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S2_temporal_mono_plus_slow_abs_0p003,temporal_mono_plus_slow_abs_0p003,0.005,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,M1_R2_log_cycle_replace,S2_temporal_mono_plus_slow_abs_0p003,20260427,1200,Run11.xlsx,Run11.csv,1.2630680799484253,1.4696961641311646,0.01300829742103815,0.06080850912692,23049.928001801116,23918.706127369696,868.7781255685804,0.03632212047517299,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S2_temporal_mono_plus_slow_abs_0p003,temporal_mono_plus_slow_abs_0p003,0.005,0.003,0.0
