variant,seed_count,mean_pressure_mae,std_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,std_wear_mae_um,mean_life_abs_error,std_life_abs_error,mean_life_rel_error,median_life_abs_error,max_life_abs_error,min_life_abs_error,row_count,life_error_win_count,delta_vs_baseline,model
M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003,2,2.7463206201791763,0.39499194024151796,3.191966399550438,0.021002380992285907,0.04389537987992359,0.00544144110315475,312.55134419319484,85.23803013632293,0.011608977650599827,210.76343357962833,779.9727100118362,15.727709535924077,8,1,-488.21705286135966,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p003
M1_R2_log_cycle_replace__S1_slow_abs_0p01,2,2.700360745191574,0.48127604325765727,3.193114310503006,0.02097034000325948,0.04454167011513725,0.00881553094860118,315.87624414576385,175.45757241490304,0.010817594517237874,265.1686597728767,692.7156855395478,13.23050034478365,8,1,-484.89215290879065,M1_R2_log_cycle_replace__S1_slow_abs_0p01
M1_R2_log_cycle_replace__S1_slow_abs_0p003,2,2.711362347006798,0.3790688608741022,3.1472890824079514,0.02081971289590001,0.044047039313921274,0.004011725798321699,317.22435775721124,82.87543070619456,0.011694126213276024,215.61261115342495,809.4591890002303,15.667533362870017,8,2,-483.54403929734326,M1_R2_log_cycle_replace__S1_slow_abs_0p003
M1_R2_log_cycle_replace__S1_slow_abs_0p03,2,3.176956668496132,0.7443839617470686,3.7496410608291626,0.023759762523695827,0.04374040452823773,0.00775147067139973,367.0430509223206,79.54653640001835,0.011512245706401424,422.35197075244287,694.6196259119533,2.3754553392282105,8,2,-433.7253461322339,M1_R2_log_cycle_replace__S1_slow_abs_0p03
M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p01,2,2.6731555461883545,0.5025535004067455,3.2120385617017746,0.020846178056672215,0.048974133613908136,0.011419442332214935,373.2343133616705,207.92553591196372,0.012942561161847629,325.2382074113666,824.0571131956021,48.77810954018787,8,0,-427.534083692884,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p01
M1_R3_log_cycle_keep__S1_slow_abs_0p03,2,3.3061630874872208,0.6402130523242697,3.9929042160511017,0.02472622157074511,0.05204277544652777,0.0035816274973004803,389.96509498962223,59.940870593488995,0.013662486995638125,238.26327071206288,1033.0601506895946,28.308033846347826,8,1,-410.80330206493227,M1_R3_log_cycle_keep__S1_slow_abs_0p03
M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p03,2,3.1040563732385635,0.8085739492039483,3.715380236506462,0.023339003906585276,0.04770175562323012,0.009107437880961126,402.86110948829037,108.43251722214835,0.012790822350511764,387.2017763750955,768.5581908158383,19.277189392967557,8,0,-397.90728756626413,M1_R2_log_cycle_replace__S2_temporal_mono_plus_slow_abs_0p03
M1_R3_log_cycle_keep__S1_slow_abs_0p01,2,3.051544964313507,0.1438788041040645,3.706892341375351,0.023288472439162433,0.049919502142606015,0.0032572055491546363,435.1254505651491,30.291666805164528,0.015163641407307546,286.32443444335695,1269.8969198661107,54.654784319711325,8,0,-365.6429464894054,M1_R3_log_cycle_keep__S1_slow_abs_0p01
M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p01,2,3.2556623220443726,0.4474453580138418,3.8613397777080536,0.024616664508357644,0.04796189605008126,0.002366542928580983,454.42179803876525,44.02980950622896,0.015927879152088452,314.39067769733447,1295.5501213393072,91.1762310524864,8,0,-346.34659901578925,M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p01
M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p03,2,2.7668811082839966,0.379523562149262,3.5850036442279816,0.021300785592757165,0.05524790343835378,1.2767741354705337e-05,475.7960705579544,60.51272626176127,0.01594461488226436,420.6226228695323,965.6726244484234,67.45180929889102,8,0,-324.9723264966001,M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p03
M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p003,2,3.4929660856723785,0.2519046750259123,4.220053136348724,0.026389879174530506,0.0514142342658897,0.006520839261015906,516.0211033911814,16.047494557039467,0.01711416374678469,261.3297745321415,1442.5919295607746,84.09373456338653,8,1,-284.74729366337306,M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p003
M1_R3_log_cycle_keep__S1_slow_abs_0p003,2,3.44327312707901,0.28079073414927824,4.118009775876999,0.02606203663162887,0.05064312500669164,0.005297089022548942,523.6635826953957,6.889004007289299,0.017018275524503856,353.04863564916013,1353.4437626700492,55.69512376944476,8,0,-277.1048143591588,M1_R3_log_cycle_keep__S1_slow_abs_0p003
M1_R2_log_cycle_replace__S0_no_shape_loss,2,2.7445180118083954,0.1828681371650679,3.1613291054964066,0.02047834137920285,0.06164022870478186,0.007767104187337447,764.0416452852032,61.74164445056808,0.026502980623114923,938.4662861733905,1199.3965087540273,65.87134729490936,8,0,-36.72675176935127,M1_R2_log_cycle_replace__S0_no_shape_loss
M1_R3_log_cycle_keep__S0_no_shape_loss,2,3.1128176003694534,0.5019520016582223,3.629284620285034,0.023906953865662176,0.06603320238110966,0.019428511188020796,800.7683970545545,425.0067964630474,0.026814066395308925,565.7964346059034,2212.285739128558,74.26859815876378,8,0,0.0,M1_R3_log_cycle_keep__S0_no_shape_loss
