stage,model,variant,feature_variant,shape_variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_name,feature_columns,description,shape_name,shape_mono_lambda,shape_slow_lambda,shape_mono_tolerance_ratio
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260425,800,Run25.xlsx,Run25.csv,3.1763710975646973,3.75317120552063,0.0217429809272289,0.0902097877158136,22339.784339946727,22834.36330453385,494.5789645871228,0.0216594155918033,543.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260425,800,Run11.xlsx,Run11.csv,3.187544345855713,4.068093776702881,0.0267618503421545,0.1485233046061369,22294.66508970836,23918.706127369696,1624.04103766134,0.0678983649455428,326.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260425,800,Run4.xlsx,Run4.csv,5.0674004554748535,5.235486030578613,0.0289145112037658,0.0060967077432405,38648.720570130194,38722.98916828896,74.26859815876378,0.0019179458960669,326.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260425,800,Run28.xlsx,Run28.csv,2.4396891593933105,3.0099284648895264,0.0260494593530893,0.0742551374968805,40236.94326765586,42449.22900678442,2212.285739128558,0.0521160405239628,543.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260426,800,Run25.xlsx,Run25.csv,3.497281074523926,4.133180141448975,0.0232938826084136,0.0827567122613203,22402.94456656052,22834.36330453385,431.4187379733303,0.0188933990503545,543.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260426,800,Run11.xlsx,Run11.csv,1.902704834938049,2.394993305206299,0.0193610154092311,0.0644303872230694,23173.066604645872,23918.706127369696,745.6395227238245,0.0311739070982022,326.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260426,800,Run4.xlsx,Run4.csv,3.177252054214477,3.555497169494629,0.0182684976607561,0.0403887321205357,38085.97526366427,38722.98916828896,637.0139046246841,0.0164505354133752,326.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260426,800,Run28.xlsx,Run28.csv,2.4542977809906006,2.8839268684387207,0.0268634334206581,0.0216048498818804,42262.32833520561,42449.22900678442,186.9006715788128,0.0044029226431637,543.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R2_log_cycle_replace__S0_no_shape_loss,M1_R2_log_cycle_replace,S0_no_shape_loss,20260425,800,Run25.xlsx,Run25.csv,3.105593681335449,3.944639444351196,0.0205739885568618,0.0712996144865579,22353.68143891797,22834.36330453385,480.6818656158757,0.0210508109731456,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,用 log1p(cycle) 替换 actual_cycle,none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R2_log_cycle_replace__S0_no_shape_loss,M1_R2_log_cycle_replace,S0_no_shape_loss,20260425,800,Run11.xlsx,Run11.csv,1.836141586303711,2.460761785507202,0.0163530725985765,0.1011170662799771,22783.12100978412,23918.706127369696,1135.5851175855787,0.0474768623159825,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,用 log1p(cycle) 替换 actual_cycle,none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R2_log_cycle_replace__S0_no_shape_loss,M1_R2_log_cycle_replace,S0_no_shape_loss,20260425,800,Run4.xlsx,Run4.csv,4.981986045837402,5.127938270568848,0.0297485906630754,0.0178037983610741,38657.11782099405,38722.98916828896,65.87134729490936,0.0017010914887958,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,用 log1p(cycle) 替换 actual_cycle,none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R2_log_cycle_replace__S0_no_shape_loss,M1_R2_log_cycle_replace,S0_no_shape_loss,20260425,800,Run28.xlsx,Run28.csv,1.571579933166504,2.0935304164886475,0.0182868558913469,0.0343717475273234,41249.8324980304,42449.22900678442,1199.3965087540273,0.0282548478928164,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,用 log1p(cycle) 替换 actual_cycle,none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R2_log_cycle_replace__S0_no_shape_loss,M1_R2_log_cycle_replace,S0_no_shape_loss,20260426,800,Run25.xlsx,Run25.csv,3.2812371253967285,3.820396423339844,0.0218706261366605,0.1092709549680729,21984.90062670827,22834.36330453385,849.4626778255806,0.0372010669400585,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,用 log1p(cycle) 替换 actual_cycle,none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R2_log_cycle_replace__S0_no_shape_loss,M1_R2_log_cycle_replace,S0_no_shape_loss,20260426,800,Run11.xlsx,Run11.csv,1.4170401096343994,1.6378819942474363,0.0137852011248469,0.0939838236450671,22844.39245061901,23918.706127369696,1074.3136767506876,0.0449152086668004,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,用 log1p(cycle) 替换 actual_cycle,none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R2_log_cycle_replace__S0_no_shape_loss,M1_R2_log_cycle_replace,S0_no_shape_loss,20260426,800,Run4.xlsx,Run4.csv,4.163276672363281,4.247145175933838,0.0248209554702043,0.0275727747715421,38443.43709435519,38722.98916828896,279.5520739337662,0.0072192792947579,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,用 log1p(cycle) 替换 actual_cycle,none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R2_log_cycle_replace__S0_no_shape_loss,M1_R2_log_cycle_replace,S0_no_shape_loss,20260426,800,Run28.xlsx,Run28.csv,1.5992889404296875,1.9583393335342407,0.0183874405920505,0.0377020495986403,41421.75911226322,42449.22900678442,1027.4698945212003,0.0242046774125623,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,用 log1p(cycle) 替换 actual_cycle,none,0.0,0.0,0.0
