stage,model,variant,feature_variant,shape_variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_name,feature_columns,description,shape_name,shape_mono_lambda,shape_slow_lambda,shape_mono_tolerance_ratio
03_模块二_复筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260425,30,Run25.xlsx,Run25.csv,13.9666748046875,16.00668716430664,0.1058191284537315,0.1083227632921096,21182.496518189288,22834.36330453385,1651.8667863445626,0.0723412676024375,543.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_复筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260425,30,Run11.xlsx,Run11.csv,10.84015655517578,12.502426147460938,0.101857878267765,0.1156591384315439,23416.709299296344,23918.706127369696,501.996828073352,0.0209876247235182,326.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_复筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260425,30,Run4.xlsx,Run4.csv,14.79689121246338,20.11309051513672,0.0762409344315528,0.201721485201362,41083.61153431398,38722.98916828896,2360.6223660250253,0.0609617805011341,326.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_复筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260425,30,Run28.xlsx,Run28.csv,8.6661958694458,10.056553840637209,0.0983049198985099,0.2680369106395017,50126.28770435119,42449.22900678442,7677.058697566768,0.1808527239997642,543.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_复筛,Transformer,M1_R3_log_cycle_keep__S1_slow_abs_0p003,M1_R3_log_cycle_keep,S1_slow_abs_0p003,20260425,30,Run25.xlsx,Run25.csv,14.10048770904541,16.08831787109375,0.10672970861196518,0.107719460582111,21202.460219097582,22834.36330453385,1631.9030854362682,0.07146698437228804,543.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,M1_R3_log_cycle_keep + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R3_log_cycle_keep__S1_slow_abs_0p003,M1_R3_log_cycle_keep,S1_slow_abs_0p003,20260425,30,Run11.xlsx,Run11.csv,10.985462188720703,12.689361572265625,0.10309560596942902,0.11830899001355455,23428.435549777507,23918.706127369696,490.2705775921895,0.020497370341917565,326.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,M1_R3_log_cycle_keep + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R3_log_cycle_keep__S1_slow_abs_0p003,M1_R3_log_cycle_keep,S1_slow_abs_0p003,20260425,30,Run4.xlsx,Run4.csv,14.9437255859375,20.29656219482422,0.07700163125991821,0.2047483668461406,41124.833031087874,38722.98916828896,2401.8438627989162,0.06202630309247497,326.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,M1_R3_log_cycle_keep + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R3_log_cycle_keep__S1_slow_abs_0p003,M1_R3_log_cycle_keep,S1_slow_abs_0p003,20260425,30,Run28.xlsx,Run28.csv,8.523615837097168,9.961822509765625,0.09720578789710999,0.27265178607107515,50216.79174990989,42449.22900678442,7767.562743125469,0.1829847779304548,543.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,M1_R3_log_cycle_keep + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_0_5d_baseline__S1_slow_abs_0p03,M1_0_5d_baseline,S1_slow_abs_0p03,20260425,30,Run25.xlsx,Run25.csv,24.441423416137695,26.61260986328125,0.19149227440357208,0.26853785350868925,18700.6334515126,22834.36330453385,4133.72985302125,0.181031097643983,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,M1_0_5d_baseline + S1_slow_abs_0p03,slow_abs_0p03,0.0,0.03,0.0
03_模块二_复筛,Transformer,M1_0_5d_baseline__S1_slow_abs_0p03,M1_0_5d_baseline,S1_slow_abs_0p03,20260425,30,Run11.xlsx,Run11.csv,9.223135948181152,12.757527351379395,0.0791020542383194,0.08434420106199876,23199.734150633474,23918.706127369696,718.9719767362221,0.030058982827399553,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,M1_0_5d_baseline + S1_slow_abs_0p03,slow_abs_0p03,0.0,0.03,0.0
03_模块二_复筛,Transformer,M1_0_5d_baseline__S1_slow_abs_0p03,M1_0_5d_baseline,S1_slow_abs_0p03,20260425,30,Run4.xlsx,Run4.csv,19.94346046447754,23.849519729614258,0.10892722010612488,0.26454035406808646,43856.25608641081,38722.98916828896,5133.266918121852,0.132563808434644,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,M1_0_5d_baseline + S1_slow_abs_0p03,slow_abs_0p03,0.0,0.03,0.0
03_模块二_复筛,Transformer,M1_0_5d_baseline__S1_slow_abs_0p03,M1_0_5d_baseline,S1_slow_abs_0p03,20260425,30,Run28.xlsx,Run28.csv,5.369785308837891,6.819427967071533,0.054715342819690704,0.07604382247532251,40107.878849911496,42449.22900678442,2341.350156872926,0.055156482500511875,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,M1_0_5d_baseline + S1_slow_abs_0p03,slow_abs_0p03,0.0,0.03,0.0
