variant,seed_count,mean_pressure_mae,std_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,std_wear_mae_um,mean_life_abs_error,std_life_abs_error,mean_life_rel_error,median_life_abs_error,max_life_abs_error,min_life_abs_error,row_count,life_error_win_count,delta_vs_baseline,model
M1_R3_log_cycle_keep__S0_no_shape_loss,1,12.067479610443115,0.0,14.669689416885376,0.0955557152628898,0.1734350743911293,0.0,3047.886169502427,0.0,0.0837858492067135,2006.244576184794,7677.058697566768,501.996828073352,4,1,0.0,M1_R3_log_cycle_keep__S0_no_shape_loss
M1_R3_log_cycle_keep__S1_slow_abs_0p003,1,12.138322830200195,0.0,14.759016036987305,0.0960081834346056,0.17585715087822032,0.0,3072.8950672382107,0.0,0.08424385893428385,2016.8734741175922,7767.562743125469,490.2705775921895,4,0,25.00889773578365,M1_R3_log_cycle_keep__S1_slow_abs_0p003
M1_0_5d_baseline__S1_slow_abs_0p03,1,14.74445128440857,0.0,17.50977122783661,0.10855922289192677,0.17336655777852425,0.0,3081.8297261880625,0.0,0.0997025928516346,3237.540004947088,5133.266918121852,718.9719767362221,4,1,33.943556685635485,M1_0_5d_baseline__S1_slow_abs_0p03
M1_0_5d_baseline__S2_temporal_mono_plus_slow_abs_0p03,1,14.768888235092163,0.0,17.506269454956055,0.10872502345591784,0.17391556443884454,0.0,3108.1146220700593,0.0,0.100457873617801,3245.2954985463093,5200.147216998412,741.720274189207,4,0,60.2284525676323,M1_0_5d_baseline__S2_temporal_mono_plus_slow_abs_0p03
M1_0_5d_baseline__S1_slow_abs_0p01,1,14.579348921775818,0.0,17.244526743888855,0.1072149882093072,0.1732648124102572,0.0,3128.501446572561,0.0,0.10121334057520677,3309.2369401372707,5108.041566775559,787.4903392401429,4,0,80.61527707013374,M1_0_5d_baseline__S1_slow_abs_0p01
M1_0_5d_baseline__S2_temporal_mono_plus_slow_abs_0p01,1,14.56022596359253,0.0,17.206665635108948,0.10702315531671047,0.17320105182977213,0.0,3130.819442081217,0.0,0.10124586352927259,3302.3952426423875,5133.1877029079915,785.2995801321013,4,0,82.93327257878991,M1_0_5d_baseline__S2_temporal_mono_plus_slow_abs_0p01
M1_0_5d_baseline__S2_temporal_mono_plus_slow_abs_0p003,1,14.488645792007446,0.0,17.097124338150024,0.10639697220176458,0.17283922686384376,0.0,3135.97649139637,0.0,0.10146076334299325,3302.5700618621104,5134.554275616516,804.2115662447432,4,0,88.09032189394293,M1_0_5d_baseline__S2_temporal_mono_plus_slow_abs_0p003
M1_0_5d_baseline__S1_slow_abs_0p003,1,14.50984501838684,0.0,17.142486691474915,0.10665658209472895,0.17303632330058813,0.0,3137.5171978406725,0.0,0.10153693680728224,3327.327508684175,5086.712535760897,808.7012382334433,4,0,89.63102833824541,M1_0_5d_baseline__S1_slow_abs_0p003
M1_0_5d_baseline__S0_no_shape_loss,1,14.483271121978762,0.0,17.099495768547058,0.10645045526325697,0.17304285842953845,0.0,3145.4079967721127,0.0,0.10178487466522262,3343.470633602514,5076.634585924097,818.056133959326,4,0,97.52182726968567,M1_0_5d_baseline__S0_no_shape_loss
M1_R3_log_cycle_keep__S1_slow_abs_0p01,1,12.419743537902832,0.0,15.02457308769226,0.09796715155243874,0.18111488662574135,0.0,3150.979376655212,0.0,0.0860584512160397,2032.1358093406143,8021.321410716635,518.3244772229846,4,0,103.093207152785,M1_R3_log_cycle_keep__S1_slow_abs_0p01
M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p003,1,12.316830158233643,0.0,14.832561016082764,0.09741843119263649,0.18046245403853733,0.0,3163.951595479394,0.0,0.08627241520814183,2028.988043433099,8071.072434823131,526.7578602282483,4,0,116.06542597696716,M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p003
M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p01,1,12.612229824066162,0.0,15.106755256652832,0.09942213073372841,0.18528136829719333,0.0,3221.279808189114,0.0,0.08747873869663304,2036.8429455524383,8280.883053650534,530.5502880010463,4,0,173.39363868668715,M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p01
M1_R3_log_cycle_keep__S1_slow_abs_0p03,1,13.152297973632812,0.0,15.760457038879395,0.10272803343832493,0.19252066482142302,0.0,3243.299559921058,0.0,0.08754916466897991,2020.4992245367666,8455.581508573254,476.61828203744517,4,1,195.41339041863102,M1_R3_log_cycle_keep__S1_slow_abs_0p03
M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p03,1,13.414430856704712,0.0,15.943329572677612,0.10455813631415367,0.19677864704206877,0.0,3334.132557651744,0.0,0.08981704926778361,2054.7561437314944,8681.685253505711,545.332689638275,4,1,286.2463881493168,M1_R3_log_cycle_keep__S2_temporal_mono_plus_slow_abs_0p03
