stage,model,variant,feature_variant,shape_variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_name,feature_columns,description,shape_name,shape_mono_lambda,shape_slow_lambda,shape_mono_tolerance_ratio
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260425,30,Run25.xlsx,Run25.csv,13.9666748046875,16.00668716430664,0.1058191284537315,0.1083227632921096,21182.496518189288,22834.36330453385,1651.8667863445626,0.0723412676024375,543.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260425,30,Run11.xlsx,Run11.csv,10.84015655517578,12.502426147460938,0.101857878267765,0.1156591384315439,23416.709299296344,23918.706127369696,501.996828073352,0.0209876247235182,326.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260425,30,Run4.xlsx,Run4.csv,14.79689121246338,20.11309051513672,0.0762409344315528,0.201721485201362,41083.61153431398,38722.98916828896,2360.6223660250253,0.0609617805011341,326.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S0_no_shape_loss,M1_R3_log_cycle_keep,S0_no_shape_loss,20260425,30,Run28.xlsx,Run28.csv,8.6661958694458,10.056553840637209,0.0983049198985099,0.2680369106395017,50126.28770435119,42449.22900678442,7677.058697566768,0.1808527239997642,543.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,同时保留 actual_cycle 与 log1p(cycle),none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_0_5d_baseline__S0_no_shape_loss,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run25.xlsx,Run25.csv,24.18189811706543,26.337146759033203,0.1891903281211853,0.2755266826269887,18668.109635346835,22834.36330453385,4166.253669187016,0.1824554341026793,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,原始 5 维,none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_0_5d_baseline__S0_no_shape_loss,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run11.xlsx,Run11.csv,8.733766555786133,12.02810287475586,0.075229026377201,0.0772644049473558,23100.64999341037,23918.706127369696,818.056133959326,0.0342015211693763,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,原始 5 维,none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_0_5d_baseline__S0_no_shape_loss,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run4.xlsx,Run4.csv,19.93261909484864,23.671754837036133,0.1091997995972633,0.2591649697680016,43799.623754213055,38722.98916828896,5076.634585924097,0.1311013094536993,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,原始 5 维,none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_0_5d_baseline__S0_no_shape_loss,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run28.xlsx,Run28.csv,5.084800720214844,6.360978603363037,0.0521826669573783,0.0802153763758077,39928.54140876641,42449.22900678442,2520.687598018012,0.0593812339351356,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,原始 5 维,none,0.0,0.0,0.0
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S1_slow_abs_0p003,M1_R3_log_cycle_keep,S1_slow_abs_0p003,20260425,30,Run25.xlsx,Run25.csv,14.10048770904541,16.08831787109375,0.10672970861196518,0.107719460582111,21202.460219097582,22834.36330453385,1631.9030854362682,0.07146698437228804,543.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,M1_R3_log_cycle_keep + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_粗筛,Transformer,M1_R3_log_cycle_keep__S1_slow_abs_0p003,M1_R3_log_cycle_keep,S1_slow_abs_0p003,20260425,30,Run11.xlsx,Run11.csv,10.985462188720703,12.689361572265625,0.10309560596942902,0.11830899001355455,23428.435549777507,23918.706127369696,490.2705775921895,0.020497370341917565,326.0,250.0,M1_R3_log_cycle_keep,F|D|Cr|F_over_D_sq|Cr_over_D|actual_cycle|log1p_actual_cycle|wear_depth,M1_R3_log_cycle_keep + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
