stage,model,variant,feature_variant,shape_variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_name,feature_columns,description,shape_name,shape_mono_lambda,shape_slow_lambda,shape_mono_tolerance_ratio
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run25.xlsx,Run25.csv,18.751697540283203,27.642831802368164,0.1070017516613006,0.4153954362209307,25964.539909855022,22834.36330453385,3130.176605321172,0.1370818429914209,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run11.xlsx,Run11.csv,12.403398513793944,13.849384307861328,0.1285068243741989,0.1022174314180412,21623.50840143474,23918.706127369696,2295.197725934955,0.0959582727306727,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run4.xlsx,Run4.csv,49.44102096557617,49.89360046386719,0.2924028635025024,0.5698259342970959,64125.89661528141,38722.98916828896,25402.907446992453,0.6560161803778157,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,FNN,FNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run28.xlsx,Run28.csv,9.56733226776123,11.681931495666504,0.0957551002502441,0.1268138967386313,38925.7758633964,42449.22900678442,3523.4531433880184,0.0830039373112026,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run25.xlsx,Run25.csv,35.22533416748047,37.980018615722656,0.2357283979654312,0.6462036749151744,31191.857354864373,22834.36330453385,8357.494050330522,0.3660051273981048,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run11.xlsx,Run11.csv,11.010894775390623,16.262577056884766,0.0843345671892166,0.2082616220428879,24898.362513243308,23918.706127369696,979.6563858736116,0.0409577499993869,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run4.xlsx,Run4.csv,78.4526138305664,78.8265380859375,0.4550979435443878,1.0113140063141937,78996.72880220003,38722.98916828896,40273.73963391107,1.0400472819616946,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run28.xlsx,Run28.csv,13.268840789794922,16.83824348449707,0.124791607260704,0.3636664879512664,49309.02227528728,42449.22900678442,6859.793268502857,0.1615999496105452,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run25.xlsx,Run25.csv,51.20985412597656,57.33318710327149,0.3335007131099701,1.0251555103701824,35118.34952170713,22834.36330453385,12283.986217173282,0.5379605313862309,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run11.xlsx,Run11.csv,20.54844093322754,28.958829879760746,0.161863699555397,0.4855048959230659,26561.56523953994,23918.706127369696,2642.8591121702448,0.1104933978492287,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run4.xlsx,Run4.csv,88.34223937988281,90.15084075927734,0.5037609338760376,1.2573796481256845,80149.57352587342,38722.98916828896,41426.58435758446,1.0698188659337675,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run28.xlsx,Run28.csv,14.456938743591309,23.59136962890625,0.1147980615496635,0.486597055305805,47727.70222970391,42449.22900678442,5278.473222919485,0.1243479174162587,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,1D-CNN,1D-CNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run25.xlsx,Run25.csv,21.298358917236328,25.5815372467041,0.1412899792194366,0.135615041927285,24623.33509182657,22834.36330453385,1788.9717872927213,0.0783455953395255,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,1D-CNN,1D-CNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run11.xlsx,Run11.csv,20.551586151123047,20.78741455078125,0.2136552780866623,0.3326110940680388,30820.57972646009,23918.706127369696,6901.873599090399,0.2885554746288188,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,1D-CNN,1D-CNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run4.xlsx,Run4.csv,30.978818893432617,36.8824348449707,0.1652506589889526,0.6551184361364442,51490.933933447865,38722.98916828896,12767.944765158907,0.3297251849455578,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,1D-CNN,1D-CNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,30,Run28.xlsx,Run28.csv,6.771003723144531,8.482414245605469,0.0675488039851188,0.080915435322095,40870.36901288433,42449.22900678442,1578.8599939000924,0.0371940793941805,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
